719,"select yy, mm, dd, hh, mi, ss, logID, clientIP, op, command, error, browser, isvisible, referer, bytesOut, bytesIn, elapsed into weblogall2#_#_#h_to_#_#h from weblogall where yy = # and mm between # and # and dd between # and # and hh between # and #"
2019-05-15 13:55:00,1
2019-05-15 13:59:00,1
2019-05-15 14:01:00,1
2019-05-15 14:04:00,1
2019-05-15 14:05:00,1
2019-05-15 14:08:00,1
2019-05-15 14:10:00,1
2019-05-15 14:13:00,1
2019-05-15 14:19:00,1
2019-05-15 14:23:00,1
2019-05-15 14:48:00,1
2019-05-15 14:53:00,1
2019-05-15 14:56:00,1
2019-05-15 15:02:00,1
2019-05-15 15:04:00,1
2019-05-15 15:25:00,1
2019-05-15 15:27:00,1
2019-05-15 15:30:00,1
2019-05-15 16:03:00,1
2019-05-15 16:06:00,1
2019-05-15 16:11:00,1
2019-05-15 16:14:00,1
2019-05-15 16:16:00,1
2019-05-15 16:19:00,1
2019-05-15 16:21:00,1
2019-05-15 16:25:00,1
2019-05-15 16:28:00,1
2019-05-15 16:29:00,1
2019-05-15 18:10:00,1
2019-05-15 18:13:00,1
2019-05-15 18:18:00,1
2019-05-15 18:20:00,1
2019-05-15 18:26:00,1
2019-05-15 18:30:00,1
2019-05-15 18:43:00,1
2019-05-15 18:46:00,1
2019-05-15 19:59:00,1
2019-05-16 10:15:00,1
2019-05-16 10:25:00,1
2019-05-16 12:43:00,1
2019-05-16 12:47:00,1
2019-05-16 13:00:00,1
2019-05-16 13:04:00,1
2019-05-16 14:57:00,1
2019-05-16 15:02:00,1
2019-05-16 19:31:00,1
2019-05-16 19:33:00,1
2019-05-17 16:07:00,1
2019-05-17 16:16:00,1
2019-05-17 16:21:00,1
2019-05-17 16:26:00,1
2019-05-17 17:09:00,1
2019-05-17 17:11:00,1
2019-05-17 17:20:00,1
2019-05-17 17:25:00,1
2019-05-17 17:41:00,1
2019-05-17 17:44:00,1
2019-05-20 12:13:00,1
2019-05-20 12:19:00,1
2019-05-20 13:30:00,1
2019-05-20 13:37:00,1
2019-05-20 13:39:00,1
2019-05-21 09:03:00,1
2019-05-21 09:05:00,1
2019-05-21 09:08:00,1
2019-05-21 09:55:00,1
2019-05-21 09:58:00,1
2019-05-21 10:02:00,1
2019-05-21 10:58:00,1
2019-05-21 11:50:00,1
2019-05-21 11:59:00,1
2019-05-21 12:03:00,1
2019-05-21 12:06:00,1
2019-05-21 12:10:00,1
2019-05-21 12:14:00,1
2019-05-21 12:20:00,1
2019-05-21 12:22:00,1
2019-05-21 12:25:00,1
2019-05-21 12:49:00,1
2019-05-21 12:56:00,1
2019-05-21 13:01:00,1
2019-05-22 09:09:00,1
2019-05-22 09:12:00,1
2019-05-22 09:33:00,1
2019-05-22 09:37:00,1
2019-05-22 09:41:00,1
2019-05-22 10:17:00,1
2019-05-22 10:23:00,1
2019-06-03 14:09:00,1
2019-06-03 14:12:00,1
2019-06-03 14:38:00,1
2019-06-03 14:40:00,1
2019-06-03 14:52:00,1
2019-06-03 16:03:00,1
2019-06-03 16:07:00,1
2019-06-03 16:21:00,1
2019-06-03 16:24:00,1
2019-06-03 17:33:00,1
2019-06-03 17:36:00,1
2019-06-03 17:41:00,1
2019-06-04 12:02:00,1
2019-06-04 12:05:00,1
2019-06-04 12:14:00,1
2019-06-04 12:21:00,1
2019-06-04 12:25:00,1
2019-06-04 12:31:00,1
2019-06-04 12:36:00,1
2019-06-04 12:38:00,1
2019-06-04 12:40:00,1
