5,"select top # * from cellall where sampleid = # and px between # and # and py between # and # order by newid () ) select cg.geom.ToString () as wkt, cg.geom.STArea () as area, cg.cellid , cx, cy, px, py from ca join cellgeom cg on cg.cellid = ca.cellid"
2019-08-28 16:31:00,1
2019-08-28 16:32:00,3
2019-08-28 16:33:00,1
