3,"SELECT TOP # class, subclass, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, petroMag_u, petroMag_g, petroMag_r, petroMag_i, petroMag_z FROM SpecPhotoAll WHERE class < > #"
2019-09-10 07:42:00,1
2019-09-11 10:28:00,2
