302,"SELECT top # visit.*, aspcap.teff, aspcap.logg, aspcap.param_m_h FROM apogeeVisit visit JOIN apogeeStarVisit starvisit on visit.visit_id = starvisit.visit_id JOIN aspcapStar aspcap on aspcap.apstar_id = starvisit.apstar_id JOIN apogeeStar star on star.apstar_id = starvisit.apstar_id WHERE (aspcap.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and aspcap.teff > # and (star.apogee_target1 & dbo.fApogeeTarget1 (#) ) > # and star.nvisits > # ORDER BY visit.apogee_id"
2019-01-03 11:18:00,1
2019-01-03 17:54:00,1
2019-01-05 12:42:00,1
2019-01-08 02:12:00,1
2019-01-08 04:34:00,1
2019-01-08 17:34:00,1
2019-01-10 02:41:00,1
2019-01-14 11:47:00,1
2019-01-16 02:43:00,1
2019-01-16 10:56:00,1
2019-01-17 22:57:00,1
2019-01-22 15:31:00,1
2019-01-22 21:46:00,1
2019-01-26 22:39:00,1
2019-01-27 16:36:00,1
2019-01-28 16:12:00,1
2019-01-30 18:45:00,2
2019-01-30 19:35:00,5
2019-01-30 19:36:00,1
2019-01-31 01:23:00,1
2019-02-01 12:32:00,1
2019-02-01 23:41:00,1
2019-02-02 13:12:00,1
2019-02-07 01:08:00,1
2019-02-12 17:32:00,1
2019-02-13 14:43:00,1
2019-02-14 14:50:00,1
2019-02-18 00:47:00,1
2019-02-19 09:35:00,1
2019-02-20 04:12:00,1
2019-02-21 15:12:00,1
2019-02-21 18:13:00,1
2019-02-24 02:49:00,1
2019-02-25 12:38:00,1
2019-02-25 21:37:00,1
2019-02-26 00:30:00,1
2019-02-27 17:29:00,1
2019-02-28 07:07:00,1
2019-02-28 23:24:00,1
2019-03-01 10:24:00,1
2019-03-03 05:06:00,1
2019-03-04 16:18:00,1
2019-03-04 19:31:00,1
2019-03-06 16:26:00,1
2019-03-06 16:36:00,1
2019-03-07 10:17:00,1
2019-03-09 00:59:00,1
2019-03-11 03:25:00,1
2019-03-11 17:12:00,1
2019-03-12 03:53:00,1
2019-03-13 07:54:00,1
2019-03-13 15:49:00,2
2019-03-14 14:36:00,1
2019-03-15 01:36:00,1
2019-03-18 03:16:00,1
2019-03-19 16:55:00,2
2019-03-20 15:26:00,1
2019-03-21 02:11:00,1
2019-03-25 12:37:00,1
2019-03-26 11:39:00,1
2019-03-27 19:49:00,1
2019-03-29 07:08:00,1
2019-03-29 14:41:00,1
2019-03-30 01:47:00,1
2019-03-31 18:02:00,1
2019-04-01 21:25:00,1
2019-04-02 12:23:00,1
2019-04-05 10:19:00,1
2019-04-06 04:02:00,1
2019-04-07 15:05:00,1
2019-04-11 01:54:00,2
2019-04-11 02:17:00,1
2019-04-15 18:19:00,1
2019-04-15 19:23:00,1
2019-04-18 12:59:00,1
2019-04-18 16:37:00,1
2019-04-18 23:47:00,1
2019-04-20 13:08:00,1
2019-04-22 02:36:00,1
2019-04-22 12:04:00,1
2019-04-24 02:23:00,1
2019-04-24 18:30:00,1
2019-04-27 09:04:00,1
2019-04-28 10:23:00,1
2019-04-28 11:25:00,1
2019-04-30 15:29:00,1
2019-04-30 23:38:00,1
2019-05-02 22:49:00,1
2019-05-03 13:53:00,1
2019-05-04 01:03:00,1
2019-05-06 19:29:00,1
2019-05-10 11:02:00,1
2019-05-11 06:55:00,1
2019-05-12 14:04:00,1
2019-05-13 09:06:00,1
2019-05-13 10:12:00,1
2019-05-14 01:02:00,1
2019-05-21 05:36:00,1
2019-05-21 12:29:00,1
2019-05-21 19:24:00,1
2019-05-23 04:26:00,1
2019-05-23 09:10:00,1
2019-05-23 23:45:00,1
2019-05-24 22:22:00,1
2019-05-24 23:44:00,1
2019-05-25 00:03:00,1
2019-05-27 12:44:00,1
2019-05-29 03:07:00,1
2019-05-30 23:31:00,1
2019-05-31 03:34:00,1
2019-06-03 09:35:00,1
2019-06-04 12:24:00,1
2019-06-04 14:49:00,1
2019-06-11 16:16:00,1
2019-06-11 17:30:00,1
2019-06-14 03:29:00,1
2019-06-14 08:28:00,1
2019-06-15 00:08:00,1
2019-06-18 12:33:00,1
2019-06-21 07:02:00,1
2019-06-21 23:29:00,1
2019-06-22 22:37:00,1
2019-06-23 01:30:00,1
2019-06-23 06:14:00,1
2019-06-25 15:51:00,1
2019-06-25 23:38:00,1
2019-06-27 10:44:00,1
2019-06-28 22:06:00,1
2019-06-29 16:50:00,1
2019-06-30 14:32:00,1
2019-07-01 10:24:00,1
2019-07-02 16:07:00,1
2019-07-06 02:04:00,1
2019-07-06 07:30:00,1
2019-07-07 02:07:00,1
2019-07-07 22:06:00,1
2019-07-08 07:43:00,1
2019-07-11 21:39:00,1
2019-07-14 09:59:00,1
2019-07-14 19:53:00,1
2019-07-18 12:06:00,1
2019-07-19 00:40:00,1
2019-07-19 09:15:00,1
2019-07-20 00:42:00,1
2019-07-20 03:06:00,1
2019-07-20 04:48:00,1
2019-07-22 02:05:00,1
2019-07-23 15:44:00,1
2019-07-25 17:29:00,1
2019-07-28 22:14:00,1
2019-07-29 18:35:00,1
2019-07-30 04:17:00,1
2019-08-01 23:46:00,1
2019-08-02 10:43:00,1
2019-08-04 23:35:00,1
2019-08-06 14:31:00,1
2019-08-06 14:35:00,1
2019-08-06 14:38:00,1
2019-08-06 14:40:00,2
2019-08-06 21:22:00,1
2019-08-08 20:59:00,1
2019-08-09 11:01:00,1
2019-08-09 17:59:00,1
2019-08-10 12:04:00,1
2019-08-12 20:51:00,1
2019-08-13 17:11:00,1
2019-08-16 15:19:00,1
2019-08-17 21:10:00,1
2019-08-22 14:06:00,1
2019-08-23 14:32:00,1
2019-08-30 13:11:00,1
2019-08-31 18:54:00,1
2019-08-31 21:06:00,1
2019-09-02 12:19:00,1
2019-09-03 19:42:00,1
2019-09-08 08:56:00,1
2019-09-08 11:50:00,1
2019-09-08 17:36:00,1
2019-09-11 19:07:00,1
2019-09-11 23:12:00,1
2019-09-15 06:31:00,1
2019-09-17 13:24:00,1
2019-09-17 17:29:00,1
2019-09-18 12:30:00,1
2019-09-18 21:27:00,2
2019-09-18 23:55:00,1
2019-09-19 02:50:00,1
2019-09-19 17:46:00,1
2019-09-19 18:38:00,1
2019-09-20 06:26:00,1
2019-09-20 10:55:00,1
2019-09-23 09:13:00,1
2019-09-24 00:15:00,1
2019-09-24 10:50:00,1
2019-09-25 02:05:00,1
2019-09-25 07:45:00,1
2019-09-29 19:18:00,1
2019-09-30 01:53:00,1
2019-10-01 01:34:00,1
2019-10-03 04:40:00,1
2019-10-03 16:57:00,1
2019-10-04 13:45:00,1
2019-10-08 19:52:00,1
2019-10-09 02:24:00,1
2019-10-10 07:21:00,1
2019-10-10 14:17:00,1
2019-10-11 04:30:00,1
2019-10-13 19:26:00,1
2019-10-14 03:21:00,1
2019-10-14 05:05:00,1
2019-10-16 05:27:00,1
2019-10-17 01:17:00,1
2019-10-17 16:37:00,1
2019-10-17 19:39:00,1
2019-10-19 07:04:00,1
2019-10-19 22:02:00,1
2019-10-21 02:39:00,1
2019-10-22 07:32:00,1
2019-10-23 10:48:00,1
2019-10-23 21:41:00,1
2019-10-24 18:46:00,1
2019-10-24 20:40:00,1
2019-10-29 16:18:00,1
2019-11-01 09:30:00,1
2019-11-02 07:30:00,1
2019-11-02 10:54:00,1
2019-11-02 21:17:00,1
2019-11-04 16:49:00,1
2019-11-05 06:02:00,1
2019-11-08 19:21:00,1
2019-11-09 10:16:00,1
2019-11-10 11:28:00,1
2019-11-12 18:16:00,1
2019-11-12 19:11:00,1
2019-11-12 19:12:00,1
2019-11-14 11:43:00,1
2019-11-14 18:26:00,2
2019-11-14 20:08:00,2
2019-11-14 20:09:00,2
2019-11-14 20:40:00,1
2019-11-15 04:21:00,1
2019-11-16 07:00:00,1
2019-11-16 07:17:00,1
2019-11-16 23:25:00,1
2019-11-17 11:59:00,1
2019-11-18 16:26:00,1
2019-11-18 19:58:00,1
2019-11-18 23:48:00,1
2019-11-20 04:18:00,1
2019-11-22 15:58:00,1
2019-11-23 17:03:00,1
2019-11-24 20:09:00,1
2019-11-27 10:08:00,1
2019-11-29 03:03:00,1
2019-11-30 02:58:00,1
2019-12-01 08:43:00,1
2019-12-01 20:27:00,1
2019-12-03 19:43:00,1
2019-12-04 11:37:00,1
2019-12-05 15:39:00,1
2019-12-05 21:12:00,1
2019-12-06 10:51:00,1
2019-12-06 20:58:00,1
2019-12-06 22:44:00,1
2019-12-07 21:38:00,1
2019-12-09 07:21:00,1
2019-12-09 21:48:00,1
2019-12-11 10:42:00,1
2019-12-12 02:33:00,1
2019-12-12 15:10:00,1
2019-12-13 12:34:00,1
2019-12-13 13:34:00,1
2019-12-14 13:37:00,1
2019-12-15 09:18:00,1
2019-12-15 20:01:00,1
2019-12-16 22:57:00,1
2019-12-20 09:10:00,1
2019-12-20 17:25:00,1
2019-12-20 19:08:00,1
2019-12-22 06:56:00,2
2019-12-22 15:25:00,1
2019-12-24 00:01:00,1
2019-12-25 05:54:00,1
2019-12-26 03:16:00,1
2019-12-26 15:24:00,1
2019-12-26 18:26:00,1
2019-12-27 07:33:00,1
2019-12-28 23:57:00,1
