2,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid from star p, specobj s where p.objid = s.bestobjid and (p.u BETWEEN # AND #) and (p.g BETWEEN # AND #) and (p.r BETWEEN # AND #) and (p.i BETWEEN # AND #) and (p.z BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-21 20:33:00,1
2019-04-21 20:35:00,1
