3,"SELECT TOP # p.objid, p.ra, p.dec, s.specobjid, s.class, s.z as redshift, s.z_noqso as fancy_redshift FROM PhotoObjall AS p JOIN SpecObjall AS s ON s.bestobjid = p.objid WHERE p.ra between # and # and p.dec between # and #"
2019-10-16 09:23:00,1
2019-10-16 09:27:00,2
