47,SELECT COUNT (z)
2019-03-02 17:32:00,1
2019-03-02 17:35:00,1
2019-03-02 17:37:00,1
2019-03-02 17:40:00,2
2019-03-02 17:41:00,1
2019-03-02 17:42:00,1
2019-03-02 17:43:00,2
2019-03-02 17:44:00,1
2019-03-02 17:45:00,3
2019-03-02 17:46:00,2
2019-03-02 17:47:00,2
2019-03-02 18:07:00,1
2019-03-02 19:26:00,1
2019-03-02 19:27:00,2
2019-03-02 19:28:00,1
2019-03-05 12:32:00,1
2019-03-16 12:28:00,1
2019-03-16 12:29:00,2
2019-03-16 12:30:00,2
2019-03-16 19:01:00,1
2019-03-16 19:38:00,1
2019-03-21 17:31:00,1
2019-03-21 17:32:00,1
2019-03-21 17:38:00,1
2019-03-21 17:43:00,1
2019-03-21 17:44:00,3
2019-03-21 18:33:00,1
2019-03-21 18:34:00,2
2019-03-21 18:35:00,3
2019-03-22 06:42:00,1
2019-03-22 21:40:00,1
2019-03-28 20:35:00,1
2019-03-28 20:37:00,1
