27,select top # * from [PosterResults]
2019-07-23 15:50:00,1
2019-07-23 16:26:00,1
2019-07-23 16:30:00,1
2019-07-23 16:45:00,1
2019-07-23 16:47:00,1
2019-07-23 16:58:00,1
2019-07-23 17:01:00,1
2019-07-23 17:03:00,1
2019-07-23 17:45:00,1
2019-07-23 17:46:00,1
2019-07-23 17:52:00,1
2019-07-24 07:16:00,1
2019-07-24 09:05:00,1
2019-07-24 10:50:00,1
2019-07-24 17:50:00,1
2019-07-24 17:51:00,1
2019-07-24 17:52:00,1
2019-07-25 07:53:00,1
2019-07-25 07:55:00,1
2019-07-25 07:56:00,1
2019-07-25 07:58:00,1
2019-07-25 08:06:00,1
2019-07-25 08:11:00,1
2019-07-25 08:34:00,1
2019-07-25 09:24:00,1
2019-07-25 09:29:00,1
2019-07-25 12:35:00,1
