11,"select top # ra, dec, u, r, i, z, z as redshift from galaxy"
2019-08-19 09:36:00,1
2019-08-19 09:37:00,2
2019-08-19 09:38:00,1
2019-08-19 09:39:00,3
2019-08-19 09:40:00,1
2019-08-19 11:12:00,2
2019-08-19 11:13:00,1
