30,"SELECT TOP # objid, rv_teff, modelmag_r, modelmag_r-#*log1# (#E+#*z) +# as abs_mag_r FROM SpecPhoto, apogeeStar WHERE (class = #) AND rv_teff = # AND modelmag_r-#*log1# (#E+#*z) +# < #AND z> #"
2019-06-22 01:27:00,2
2019-06-22 01:28:00,2
2019-06-22 01:29:00,1
2019-06-22 01:34:00,1
2019-06-22 01:35:00,3
2019-06-24 08:33:00,1
2019-06-24 08:34:00,1
2019-06-24 08:36:00,1
2019-06-24 08:37:00,2
2019-06-24 08:39:00,1
2019-06-24 08:40:00,1
2019-06-24 08:42:00,1
2019-06-24 08:43:00,3
2019-06-24 08:44:00,3
2019-06-24 09:29:00,3
2019-06-24 09:33:00,2
2019-06-24 09:37:00,1
2019-06-24 09:47:00,1
