8124,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-02-26 17:17:00,1
2019-02-26 17:20:00,1
2019-02-26 17:24:00,1
2019-02-26 18:49:00,1
2019-02-26 20:04:00,3
2019-02-26 20:05:00,2
2019-02-26 20:26:00,1
2019-02-26 20:28:00,1
2019-02-26 20:44:00,1
2019-02-26 20:45:00,1
2019-02-26 20:54:00,1
2019-02-26 20:55:00,1
2019-02-26 21:00:00,1
2019-02-26 21:02:00,1
2019-02-26 23:57:00,1
2019-02-26 23:59:00,1
2019-02-27 00:00:00,2
2019-02-27 00:02:00,1
2019-02-27 00:26:00,1
2019-02-27 00:27:00,1
2019-02-27 00:30:00,2
2019-02-27 00:32:00,2
2019-02-27 00:44:00,1
2019-02-27 00:45:00,1
2019-02-27 00:47:00,1
2019-02-27 00:49:00,1
2019-02-27 00:50:00,1
2019-02-27 00:53:00,1
2019-02-27 01:29:00,2
2019-02-27 01:30:00,18
2019-02-27 01:31:00,20
2019-02-27 01:32:00,19
2019-02-27 01:33:00,8
2019-02-27 01:35:00,6
2019-02-27 03:19:00,4
2019-02-27 03:20:00,14
2019-02-27 03:21:00,9
2019-02-27 04:26:00,2
2019-02-27 06:26:00,1
2019-02-27 06:38:00,1
2019-02-27 10:22:00,4
2019-02-27 10:23:00,7
2019-02-27 10:24:00,6
2019-02-27 10:45:00,6
2019-02-27 10:51:00,1
2019-02-27 10:52:00,3
2019-02-27 10:54:00,1
2019-02-27 10:56:00,12
2019-02-27 10:57:00,9
2019-02-27 13:46:00,2
2019-02-27 13:47:00,6
2019-02-27 14:05:00,9
2019-02-27 14:06:00,9
2019-02-27 14:30:00,1
2019-02-27 14:32:00,1
2019-02-27 14:33:00,1
2019-02-27 14:35:00,1
2019-02-28 03:23:00,3
2019-02-28 03:36:00,2
2019-02-28 07:34:00,6
2019-02-28 07:35:00,1
2019-02-28 12:15:00,11
2019-02-28 12:17:00,11
2019-02-28 12:18:00,1
2019-02-28 12:21:00,1
2019-02-28 12:23:00,2
2019-02-28 12:25:00,4
2019-02-28 12:28:00,1
2019-02-28 12:29:00,1
2019-02-28 12:38:00,2
2019-02-28 12:40:00,4
2019-02-28 13:27:00,1
2019-02-28 14:39:00,1
2019-02-28 18:34:00,2
2019-02-28 18:44:00,2
2019-02-28 21:29:00,4
2019-02-28 21:30:00,3
2019-02-28 23:24:00,11
2019-02-28 23:25:00,6
