3,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, clean, p.type, pm.pmra, pm.pmdec FROM PhotoObj AS p JOIN propermotions pm ON p.objid = pm.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.g < # AND p.g > #"
2019-12-12 17:26:00,1
2019-12-12 17:28:00,1
2019-12-12 18:10:00,1
