32,"SELECT TOP # specObjID, z, survey FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and # order by newid ()"
2019-03-28 18:24:00,1
2019-03-28 21:43:00,1
2019-03-29 09:38:00,1
2019-03-31 12:02:00,1
2019-03-31 12:03:00,1
2019-03-31 12:04:00,2
2019-03-31 12:06:00,1
2019-03-31 12:07:00,1
2019-03-31 12:09:00,1
2019-03-31 12:15:00,1
2019-03-31 12:16:00,1
2019-03-31 12:17:00,1
2019-03-31 18:27:00,1
2019-03-31 18:28:00,1
2019-03-31 18:30:00,1
2019-03-31 18:31:00,1
2019-04-02 16:17:00,1
2019-04-02 16:18:00,1
2019-04-03 13:53:00,2
2019-04-03 13:59:00,2
2019-04-03 14:22:00,1
2019-04-03 14:59:00,2
2019-04-03 15:16:00,1
2019-04-03 15:17:00,1
2019-04-03 16:11:00,1
2019-04-03 20:39:00,1
2019-04-03 20:50:00,1
2019-04-03 20:52:00,1
