3,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec, s.class, s.plate, s.plateID, s.platerun, s.specObjID, s.z, s.z_noqso, s.z_person, s.zErr, s.zErr_noqso, s.zWarning, s.zWarning_noqso FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-07-02 09:27:00,1
2019-07-02 09:28:00,1
2019-07-02 09:40:00,1
