2,"SELECT TOP # objID, expAB_r, expPhi_r, ra, dec FROM Galaxy WHERE r < # AND r > # AND expAB_r < # AND expPhi_r < # AND lnLExp_r > lnLDeV_r"
2019-05-15 19:50:00,1
2019-05-15 20:04:00,1
