612,"SELECT TOP # p.ra, p.dec, p.r, p.petroRad_r, s.z as redshift, p.objid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.r BETWEEN # AND # order by sqrt (square (p.ra-#) +square (p.dec-#) )"
2019-03-07 16:50:00,9
2019-03-07 17:02:00,2
2019-03-07 17:03:00,1
2019-03-07 17:04:00,2
2019-03-07 17:05:00,3
2019-03-07 17:06:00,3
2019-03-07 17:07:00,1
2019-03-07 17:09:00,1
2019-03-07 17:10:00,1
2019-03-07 17:11:00,1
2019-03-11 11:53:00,1
2019-03-11 11:54:00,1
2019-03-11 16:53:00,1
2019-03-11 16:56:00,1
2019-03-11 17:16:00,1
2019-03-11 17:19:00,1
2019-08-15 16:50:00,2
2019-08-15 16:51:00,3
2019-08-15 16:52:00,2
2019-08-15 16:53:00,1
2019-08-15 16:54:00,2
2019-08-15 20:55:00,1
2019-08-15 20:56:00,5
2019-08-15 20:57:00,5
2019-08-15 20:58:00,6
2019-08-15 20:59:00,10
2019-08-15 21:00:00,8
2019-08-15 21:01:00,9
2019-08-15 21:02:00,7
2019-08-15 21:03:00,6
2019-08-15 21:04:00,10
2019-08-15 21:05:00,12
2019-08-15 21:06:00,6
2019-08-15 21:07:00,7
2019-08-15 21:08:00,9
2019-08-15 21:09:00,9
2019-08-15 21:10:00,7
2019-08-15 21:11:00,6
2019-08-15 21:12:00,9
2019-08-15 21:13:00,9
2019-08-15 21:14:00,6
2019-08-15 21:15:00,7
2019-08-15 21:16:00,8
2019-08-15 21:17:00,12
2019-08-15 21:18:00,9
2019-08-15 21:19:00,9
2019-08-15 21:20:00,11
2019-08-15 21:21:00,14
2019-08-15 21:22:00,10
2019-08-15 21:23:00,9
2019-08-15 21:24:00,11
2019-08-15 21:25:00,9
2019-08-15 21:26:00,10
2019-08-15 21:27:00,13
2019-08-15 21:28:00,6
2019-10-22 13:07:00,2
2019-10-22 13:08:00,5
2019-10-22 13:09:00,7
2019-10-22 13:10:00,12
2019-10-22 13:11:00,10
2019-10-22 13:12:00,12
2019-10-22 13:13:00,8
2019-10-22 13:14:00,14
2019-10-22 13:15:00,14
2019-10-22 13:16:00,9
2019-10-22 13:17:00,12
2019-10-22 13:18:00,11
2019-10-22 13:19:00,9
2019-10-22 13:20:00,14
2019-10-22 13:21:00,8
2019-10-22 13:22:00,9
2019-10-22 13:23:00,14
2019-10-22 13:24:00,13
2019-10-22 13:25:00,12
2019-10-22 13:26:00,14
2019-10-22 13:27:00,17
2019-10-22 13:28:00,12
2019-10-22 13:29:00,13
2019-10-22 13:30:00,12
2019-10-22 13:34:00,4
2019-10-22 13:35:00,9
2019-10-22 13:36:00,11
