73,"SELECT p.objID, p.ra, p.dec, p.probPSF, p.psfMag_u, p.psfMagErr_u, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z, p.modelMag_u, p.modelMagErr_u, p.modelMag_g, p.modelMagErr_g, p.modelMag_r, p.modelMagErr_r, p.modelMag_i, p.modelMagErr_i, p.modelMag_z, p.modelMagErr_z FROM photoObjAll p, dbo.fgetNearByObjEq (#, #, #) n WHERE p.objid = n.objid"
2019-03-13 14:47:00,1
2019-03-18 15:38:00,1
2019-03-21 18:10:00,1
2019-04-17 20:12:00,1
2019-04-18 20:38:00,1
2019-05-13 16:06:00,1
2019-05-13 19:19:00,1
2019-05-13 19:38:00,1
2019-05-15 14:01:00,1
2019-05-15 15:56:00,1
2019-05-16 17:28:00,1
2019-05-17 16:03:00,1
2019-05-23 18:46:00,1
2019-05-24 17:27:00,1
2019-05-30 17:08:00,1
2019-05-30 19:14:00,1
2019-05-30 20:28:00,1
2019-06-01 08:43:00,1
2019-06-04 18:15:00,1
2019-06-04 20:26:00,1
2019-06-04 20:41:00,1
2019-06-04 22:30:00,1
2019-06-05 10:01:00,1
2019-06-05 16:17:00,1
2019-06-05 21:17:00,1
2019-06-06 22:08:00,1
2019-06-06 22:16:00,1
2019-06-06 22:34:00,1
2019-06-08 10:37:00,1
2019-06-08 11:41:00,1
2019-06-09 02:56:00,1
2019-06-09 07:56:00,1
2019-06-10 20:55:00,1
2019-06-10 22:57:00,1
2019-06-11 20:08:00,1
2019-06-11 21:01:00,1
2019-06-18 17:38:00,1
2019-06-19 20:42:00,1
2019-06-20 14:42:00,1
2019-06-20 16:05:00,1
2019-06-20 18:20:00,1
2019-06-20 18:43:00,1
2019-06-20 19:21:00,1
2019-06-20 19:22:00,1
2019-06-20 20:08:00,1
2019-06-20 20:27:00,1
2019-06-20 20:47:00,1
2019-06-20 21:25:00,1
2019-06-21 15:28:00,1
2019-06-21 15:45:00,1
2019-06-21 15:51:00,1
2019-06-21 16:25:00,1
2019-06-21 17:15:00,1
2019-06-21 19:00:00,1
2019-07-10 17:45:00,1
2019-07-10 18:12:00,1
2019-07-10 18:51:00,1
2019-07-10 19:50:00,1
2019-07-10 20:07:00,1
2019-07-16 15:24:00,1
2019-07-16 15:42:00,1
2019-07-16 16:00:00,1
2019-07-16 16:38:00,1
2019-07-16 17:27:00,1
2019-07-16 18:26:00,1
2019-07-16 20:48:00,1
2019-07-17 14:37:00,1
2019-07-17 15:03:00,1
2019-07-17 15:54:00,1
2019-07-19 19:59:00,1
2019-07-19 20:19:00,1
2019-07-19 21:03:00,1
2019-07-19 22:03:00,1
