24,"SELECT g.ObjID, g.petroRad_u, g.ra, g.dec, s.bestObjID, s.z FROM GALAXY as g JOIN SpecObj as s on s.bestObjID = g.objID WHERE g.ra between # and # and g.dec between # and # and g.petroRad_u > # and s.z between # and #"
2019-12-06 15:34:00,1
2019-12-06 15:36:00,4
2019-12-06 15:37:00,2
2019-12-06 15:38:00,2
2019-12-06 15:39:00,2
2019-12-06 15:40:00,1
2019-12-06 15:41:00,1
2019-12-06 15:42:00,2
2019-12-06 15:44:00,1
2019-12-06 15:46:00,2
2019-12-06 15:48:00,1
2019-12-06 15:49:00,2
2019-12-06 15:50:00,1
2019-12-06 15:51:00,1
2019-12-06 15:52:00,1
