1282,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID"
2019-01-04 18:05:00,40
2019-01-04 18:10:00,14
2019-01-04 18:48:00,10
2019-01-04 19:07:00,18
2019-01-04 20:33:00,2
2019-01-05 01:10:00,1
2019-04-01 17:41:00,1
2019-04-01 18:22:00,1
2019-04-08 06:36:00,1
2019-04-08 06:42:00,1
2019-04-09 00:36:00,1
2019-04-09 00:37:00,1
2019-04-09 00:44:00,1
2019-04-09 00:50:00,2
2019-04-09 00:52:00,1
2019-04-09 00:56:00,1
2019-04-09 00:57:00,1
2019-04-09 01:06:00,1
2019-04-09 01:11:00,1
2019-04-10 00:40:00,1
2019-04-10 00:53:00,1
2019-04-10 00:59:00,1
2019-04-10 01:05:00,1
2019-04-11 00:12:00,1
2019-04-11 00:13:00,1
2019-04-11 00:34:00,2
2019-04-11 00:37:00,1
2019-04-11 00:50:00,1
2019-04-11 00:53:00,1
2019-04-11 00:59:00,1
2019-04-12 00:50:00,2
2019-04-12 00:52:00,1
2019-04-12 00:59:00,1
2019-04-12 01:04:00,2
2019-04-12 01:06:00,1
2019-04-12 01:09:00,1
2019-04-12 01:10:00,1
2019-04-18 13:12:00,1
2019-04-19 01:11:00,1
2019-04-22 16:23:00,3
2019-05-06 14:41:00,1
2019-05-06 14:58:00,1
2019-05-06 15:25:00,1
2019-06-18 20:27:00,1
2019-06-18 20:28:00,1
2019-06-18 20:30:00,1
2019-06-18 20:35:00,1
2019-06-18 20:36:00,1
2019-06-18 21:00:00,1
2019-06-18 21:03:00,1
2019-07-30 20:02:00,1
2019-07-30 20:03:00,1
2019-07-30 20:09:00,1
2019-07-30 20:10:00,1
2019-07-30 20:11:00,1
2019-07-30 20:13:00,1
2019-07-30 20:24:00,1
2019-07-30 20:37:00,1
2019-11-05 01:56:00,1
2019-11-05 01:58:00,1
2019-11-05 02:00:00,1
2019-11-05 02:01:00,1
2019-11-05 02:08:00,1
2019-11-05 02:18:00,1
2019-11-05 02:28:00,1
2019-11-06 01:59:00,1
2019-11-06 02:04:00,1
2019-11-06 02:07:00,1
2019-11-06 02:08:00,1
2019-11-06 02:10:00,1
2019-11-06 02:13:00,2
2019-11-06 02:14:00,1
2019-11-06 02:15:00,1
2019-11-06 02:24:00,1
2019-11-07 01:54:00,1
2019-11-07 01:57:00,1
2019-11-07 01:58:00,1
2019-11-07 01:59:00,1
2019-11-07 02:05:00,1
2019-11-07 02:30:00,1
2019-11-08 01:44:00,1
2019-11-08 01:46:00,2
2019-11-08 01:48:00,1
2019-11-08 01:53:00,1
2019-11-08 02:00:00,1
2019-11-08 02:11:00,1
2019-11-19 01:04:00,1
2019-11-19 01:05:00,2
2019-11-19 01:06:00,2
2019-11-19 01:10:00,1
2019-11-19 01:14:00,1
2019-11-19 01:23:00,1
2019-11-19 01:24:00,1
2019-11-19 01:31:00,1
2019-11-19 01:33:00,1
2019-11-19 01:42:00,1
2019-11-19 01:52:00,1
2019-11-19 01:54:00,1
2019-11-19 01:55:00,1
2019-11-19 01:56:00,2
2019-11-19 01:57:00,3
2019-11-19 01:59:00,1
2019-11-19 02:01:00,1
2019-11-19 02:11:00,1
2019-11-19 02:12:00,1
2019-11-19 02:18:00,2
2019-11-19 02:20:00,1
2019-11-19 02:25:00,1
2019-11-19 23:55:00,1
2019-11-20 01:21:00,1
2019-11-20 01:32:00,1
2019-11-20 01:37:00,2
2019-11-20 01:46:00,1
2019-11-20 02:12:00,1
2019-11-20 02:13:00,1
2019-11-20 02:14:00,1
2019-11-20 02:15:00,4
2019-11-20 02:16:00,1
2019-11-20 02:17:00,2
2019-11-20 02:18:00,2
2019-11-20 02:19:00,1
2019-11-20 02:22:00,1
2019-11-20 02:30:00,2
2019-11-20 02:32:00,1
2019-11-20 02:33:00,1
2019-11-20 02:34:00,1
2019-11-20 02:35:00,1
2019-11-20 02:36:00,1
2019-11-20 02:38:00,1
2019-11-20 02:50:00,1
