76,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-02-04 04:25:00,1
2019-04-02 08:18:00,1
2019-09-05 03:06:00,1
2019-09-09 05:00:00,1
2019-09-10 10:10:00,1
2019-09-13 06:17:00,1
2019-09-13 06:18:00,4
2019-09-13 06:48:00,7
2019-09-16 02:09:00,2
2019-09-16 02:10:00,8
2019-09-16 02:12:00,1
2019-09-16 02:13:00,1
2019-09-16 02:15:00,3
2019-09-16 02:16:00,2
2019-09-16 04:15:00,1
2019-09-16 04:16:00,1
2019-09-19 04:22:00,1
2019-09-19 14:29:00,1
2019-09-20 07:26:00,1
2019-10-22 11:43:00,2
2019-10-22 11:44:00,1
2019-11-10 20:00:00,1
2019-11-12 01:29:00,1
2019-11-12 01:30:00,1
2019-11-12 01:35:00,1
2019-11-12 01:43:00,1
2019-11-12 01:50:00,1
2019-11-12 02:03:00,1
2019-11-13 01:37:00,1
2019-11-13 01:50:00,1
2019-11-13 01:53:00,2
2019-11-13 01:54:00,1
2019-11-14 01:37:00,1
2019-11-14 01:43:00,1
2019-11-14 01:44:00,1
2019-11-14 01:45:00,1
2019-11-14 01:49:00,1
2019-11-14 01:53:00,1
2019-11-14 01:58:00,1
2019-11-15 01:35:00,1
2019-11-15 01:36:00,1
2019-11-15 01:40:00,1
2019-11-15 01:52:00,1
2019-11-15 01:59:00,1
2019-11-15 02:00:00,1
2019-11-15 02:02:00,1
2019-11-15 02:03:00,1
2019-11-15 02:04:00,1
2019-11-15 02:05:00,1
2019-11-19 01:17:00,1
2019-11-20 01:13:00,1
2019-12-05 15:43:00,1
2019-12-06 03:25:00,1
2019-12-15 22:55:00,1
