2,"select a.*, t.objid as matched_id, s.z from #tmp t JOIN MYDB.Red_E_Galaxies_Spec a ON t.up_id = a.search_id JOIN specobj s ON s.bestobjid = t.objid"
2019-08-24 09:07:00,1
2019-08-24 09:11:00,1
