486,"SELECT ra, dec, r FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND r < # AND r > # AND clean = #"
2019-01-15 08:08:00,1
2019-01-21 09:56:00,1
2019-01-28 15:17:00,1
2019-02-01 17:16:00,1
2019-02-01 22:14:00,1
2019-02-06 15:47:00,1
2019-02-08 14:07:00,1
2019-02-08 21:49:00,1
2019-02-13 14:23:00,1
2019-02-15 13:02:00,1
2019-02-15 13:07:00,1
2019-02-18 17:12:00,1
2019-02-18 17:13:00,1
2019-02-18 17:14:00,1
2019-02-20 13:48:00,2
2019-02-20 13:54:00,1
2019-02-20 16:13:00,1
2019-02-20 16:14:00,1
2019-02-20 17:15:00,1
2019-02-22 13:08:00,1
2019-02-22 20:37:00,2
2019-02-25 12:06:00,1
2019-02-26 14:43:00,1
2019-02-27 12:56:00,1
2019-02-27 13:17:00,1
2019-02-27 13:49:00,1
2019-03-01 05:30:00,1
2019-03-01 05:50:00,1
2019-03-01 14:49:00,3
2019-03-01 15:04:00,1
2019-03-01 15:05:00,1
2019-03-05 11:03:00,1
2019-03-05 14:12:00,1
2019-03-05 14:13:00,1
2019-03-05 14:17:00,1
2019-03-05 14:32:00,1
2019-03-05 15:32:00,3
2019-03-05 15:34:00,2
2019-03-05 15:36:00,1
2019-03-05 15:39:00,1
2019-03-05 15:40:00,1
2019-03-06 13:14:00,1
2019-03-07 12:21:00,1
2019-03-07 15:56:00,3
2019-03-07 15:57:00,1
2019-03-07 15:58:00,1
2019-03-08 11:48:00,1
2019-03-08 14:19:00,1
2019-03-08 14:25:00,1
2019-03-08 14:27:00,1
2019-03-08 14:31:00,4
2019-03-08 14:32:00,2
2019-03-08 14:37:00,1
2019-03-08 14:38:00,1
2019-03-08 14:40:00,1
2019-03-08 14:43:00,1
2019-03-08 15:02:00,1
2019-03-08 15:03:00,1
2019-03-08 15:14:00,1
2019-03-10 20:44:00,1
2019-03-10 20:47:00,3
2019-03-10 20:48:00,1
2019-03-11 11:42:00,1
2019-03-11 13:53:00,2
2019-03-11 14:06:00,2
2019-03-11 14:21:00,1
2019-03-11 14:22:00,1
2019-03-11 14:28:00,1
2019-03-11 14:32:00,1
2019-03-11 14:33:00,1
2019-03-11 14:37:00,1
2019-03-11 14:43:00,1
2019-03-11 14:45:00,1
2019-03-11 15:06:00,1
2019-03-11 16:06:00,1
2019-03-11 16:21:00,3
2019-03-11 16:25:00,1
2019-03-11 16:32:00,1
2019-03-11 17:22:00,1
2019-03-11 21:21:00,1
2019-03-12 07:37:00,1
2019-03-12 08:01:00,1
2019-03-12 08:09:00,1
2019-03-12 08:10:00,1
2019-03-12 08:12:00,1
2019-03-12 08:32:00,2
2019-03-12 10:09:00,1
2019-03-12 14:09:00,1
2019-03-12 14:41:00,1
2019-03-12 14:42:00,2
2019-03-12 14:52:00,1
2019-03-12 16:03:00,1
2019-03-12 20:52:00,1
2019-03-12 22:26:00,1
2019-03-13 13:08:00,1
2019-03-13 14:01:00,1
2019-03-14 11:33:00,1
2019-03-14 14:34:00,1
2019-03-15 10:14:00,1
2019-03-18 11:41:00,1
2019-03-18 12:15:00,1
2019-03-20 05:15:00,1
2019-03-20 05:19:00,1
2019-03-20 05:20:00,1
2019-03-20 05:43:00,1
2019-03-20 06:12:00,1
2019-03-20 07:03:00,1
2019-03-20 07:26:00,1
2019-03-20 07:35:00,1
2019-03-20 08:24:00,1
2019-03-20 08:36:00,1
2019-03-20 11:14:00,1
2019-03-20 17:11:00,1
2019-03-20 22:06:00,1
2019-03-20 22:15:00,1
2019-03-20 22:55:00,1
2019-03-21 04:16:00,1
2019-03-21 04:41:00,1
2019-03-21 06:08:00,1
2019-03-21 06:40:00,1
2019-03-21 06:42:00,1
2019-03-21 07:07:00,1
2019-03-21 07:13:00,1
2019-03-21 08:50:00,1
2019-03-21 11:42:00,1
2019-03-21 22:05:00,1
2019-03-22 10:39:00,1
2019-03-22 10:54:00,1
2019-03-24 20:06:00,1
2019-03-24 20:32:00,1
2019-03-24 20:55:00,1
2019-03-24 20:56:00,1
2019-03-25 11:00:00,1
2019-03-25 11:02:00,1
2019-03-28 10:06:00,1
2019-03-28 12:48:00,1
2019-03-28 13:04:00,1
2019-03-28 13:11:00,1
2019-03-28 13:39:00,1
2019-03-28 14:00:00,1
2019-03-28 18:56:00,1
2019-03-29 11:04:00,1
2019-03-29 11:34:00,1
2019-03-29 12:11:00,1
2019-03-29 12:15:00,1
2019-03-29 12:38:00,2
2019-03-29 12:57:00,1
2019-03-29 13:13:00,1
2019-03-29 13:45:00,1
2019-03-29 14:01:00,1
2019-03-29 14:22:00,1
2019-03-29 15:02:00,1
2019-03-29 15:15:00,1
2019-03-29 15:27:00,1
2019-03-29 15:40:00,1
2019-03-29 15:54:00,1
