7,"SELECT TOP # p.u, p.g, p.r, p.i, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE (s.class = # OR s.class = # OR s.class = #)"
2019-11-05 10:41:00,1
2019-11-05 10:43:00,1
2019-11-05 11:28:00,1
2019-11-05 11:29:00,3
2019-11-05 11:30:00,1
