840,"SELECT TOP # u, g, r, i, z, ra, dec, flags_r FROM Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-01-01 09:58:00,1
2019-01-02 01:50:00,1
2019-01-03 11:15:00,1
2019-01-03 17:39:00,1
2019-01-04 05:30:00,1
2019-01-05 06:21:00,1
2019-01-05 08:52:00,1
2019-01-05 17:55:00,1
2019-01-07 06:58:00,1
2019-01-08 02:00:00,1
2019-01-08 03:48:00,1
2019-01-08 06:50:00,1
2019-01-08 08:28:00,1
2019-01-08 17:15:00,1
2019-01-10 02:34:00,1
2019-01-10 22:43:00,1
2019-01-11 07:13:00,1
2019-01-12 09:37:00,1
2019-01-14 05:42:00,1
2019-01-14 11:38:00,1
2019-01-15 23:27:00,1
2019-01-16 01:52:00,1
2019-01-17 04:28:00,1
2019-01-17 18:33:00,1
2019-01-17 18:34:00,1
2019-01-17 18:35:00,1
2019-01-17 18:36:00,1
2019-01-17 18:37:00,1
2019-01-17 18:39:00,1
2019-01-17 18:40:00,1
2019-01-17 23:43:00,1
2019-01-17 23:59:00,1
2019-01-19 17:09:00,1
2019-01-20 18:25:00,1
2019-01-22 09:00:00,1
2019-01-22 15:13:00,1
2019-01-24 13:41:00,1
2019-01-24 17:25:00,1
2019-01-25 11:15:00,1
2019-01-25 17:34:00,1
2019-01-26 13:28:00,1
2019-01-26 22:18:00,1
2019-01-27 16:19:00,1
2019-01-27 22:39:00,1
2019-01-28 04:59:00,1
2019-01-28 16:02:00,1
2019-01-28 16:05:00,1
2019-01-29 03:45:00,1
2019-01-30 14:57:00,1
2019-01-30 17:03:00,1
2019-01-30 17:36:00,1
2019-01-30 17:38:00,6
2019-01-31 00:35:00,1
2019-01-31 17:10:00,1
2019-01-31 20:05:00,1
2019-02-01 11:46:00,1
2019-02-01 23:21:00,1
2019-02-02 12:48:00,1
2019-02-02 15:37:00,1
2019-02-02 21:10:00,1
2019-02-03 02:41:00,1
2019-02-03 10:44:00,1
2019-02-04 04:21:00,1
2019-02-04 08:29:00,1
2019-02-05 06:23:00,1
2019-02-05 06:28:00,1
2019-02-06 02:37:00,1
2019-02-06 18:28:00,1
2019-02-07 06:04:00,1
2019-02-07 18:16:00,1
2019-02-08 05:13:00,1
2019-02-08 16:55:00,1
2019-02-09 06:40:00,1
2019-02-09 14:56:00,1
2019-02-09 18:40:00,1
2019-02-11 05:08:00,1
2019-02-11 22:19:00,1
2019-02-11 22:32:00,1
2019-02-12 01:29:00,1
2019-02-12 17:22:00,1
2019-02-12 19:44:00,1
2019-02-12 19:53:00,1
2019-02-12 23:33:00,1
2019-02-13 14:29:00,1
2019-02-13 18:04:00,1
2019-02-14 12:46:00,1
2019-02-14 14:24:00,1
2019-02-17 03:29:00,1
2019-02-17 15:38:00,1
2019-02-18 00:08:00,1
2019-02-18 11:16:00,1
2019-02-19 07:55:00,1
2019-02-21 15:16:00,1
2019-02-21 18:00:00,1
2019-02-22 06:09:00,1
2019-02-23 23:40:00,1
2019-02-24 22:14:00,1
2019-02-26 00:19:00,1
2019-02-26 02:51:00,1
2019-02-26 07:40:00,1
2019-02-26 11:17:00,1
2019-02-27 03:45:00,1
2019-02-28 06:55:00,1
2019-02-28 08:53:00,1
2019-02-28 17:15:00,1
2019-03-01 08:12:00,1
2019-03-01 10:20:00,1
2019-03-01 22:05:00,1
2019-03-02 01:59:00,1
2019-03-02 08:48:00,1
2019-03-02 10:34:00,1
2019-03-02 14:47:00,1
2019-03-03 04:23:00,1
2019-03-04 00:13:00,1
2019-03-04 08:34:00,1
2019-03-04 20:21:00,1
2019-03-04 22:53:00,1
2019-03-06 05:36:00,1
2019-03-06 16:22:00,1
2019-03-07 09:55:00,1
2019-03-07 14:03:00,1
