35,"SELECT p.type, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, p.specObjID, p.objID, p.l, p.b, p.type, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.flags, p.mjd AS ImageMJD, p.mode, p.parentID, p.nChild, p.extinction_r, p.petroRad_r, p.petroRadErr_r, Photoz.z AS Photoz, Photoz.zerr AS Photoz_err, zooSpec.spiral AS Zoo1Morphology_spiral, zooSpec.elliptical AS Zoo1Morphology_elliptical, zooSpec.uncertain AS Zoo1Morphology_uncertain, s.instrument, s.class, s.z, s.zErr, s.survey, s.programname, s.sourcetype, s.velDisp, s.velDispErr, s.plate, s.mjd AS specMJD, s.fiberID FROM PhotoObj AS p LEFT JOIN Photoz ON Photoz.objID = p.objID LEFT JOIN zooSpec ON zooSpec.objID = p.objID LEFT JOIN SpecObj AS s ON s.specObjID = p.specObjID WHERE p.objID = #"
2019-02-25 21:44:00,1
2019-02-25 21:48:00,1
2019-02-25 21:49:00,1
2019-02-25 21:54:00,1
2019-02-28 17:59:00,1
2019-02-28 18:27:00,2
2019-02-28 18:30:00,1
2019-02-28 18:33:00,1
2019-02-28 18:34:00,2
2019-02-28 18:36:00,1
2019-02-28 18:38:00,1
2019-02-28 18:51:00,1
2019-02-28 20:01:00,1
2019-02-28 20:05:00,1
2019-02-28 20:06:00,1
2019-02-28 20:07:00,1
2019-02-28 20:24:00,1
2019-02-28 20:47:00,1
2019-02-28 20:51:00,1
2019-03-01 20:00:00,1
2019-03-01 20:01:00,1
2019-03-01 20:30:00,1
2019-03-01 20:31:00,1
2019-03-01 20:33:00,2
2019-03-01 20:34:00,1
2019-03-01 20:35:00,2
2019-03-01 20:36:00,1
2019-03-06 17:33:00,1
2019-03-06 17:35:00,1
2019-03-07 14:51:00,1
2019-07-26 15:53:00,1
