265,"select top # z, ra, dec, ObjID, petroRad_r, petroR5#_r, petroR9#_r from galaxy where ObjID IN ()"
2019-05-30 16:11:00,13
2019-05-30 16:12:00,36
2019-05-30 16:16:00,1
2019-05-30 16:34:00,1
2019-05-30 16:37:00,10
2019-05-30 17:10:00,35
2019-05-30 17:11:00,128
2019-05-30 17:12:00,30
2019-05-30 17:13:00,10
2019-05-30 17:44:00,1
