232,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-14 16:07:00,1
2019-01-14 16:56:00,1
2019-01-14 17:15:00,1
2019-01-22 06:24:00,1
2019-01-22 06:25:00,3
2019-01-22 06:26:00,1
2019-01-22 06:27:00,1
2019-01-22 06:50:00,2
2019-01-26 17:01:00,1
2019-02-15 21:06:00,1
2019-02-15 21:13:00,3
2019-02-15 21:14:00,2
2019-02-15 21:26:00,1
2019-03-26 08:09:00,1
2019-03-26 08:11:00,1
2019-03-26 08:15:00,1
2019-03-26 08:16:00,1
2019-03-26 08:18:00,1
2019-03-26 08:22:00,1
2019-03-26 08:23:00,1
2019-03-26 08:24:00,1
2019-03-26 08:26:00,1
2019-03-26 08:44:00,1
2019-03-26 08:52:00,1
2019-03-28 20:34:00,1
2019-03-28 20:37:00,1
2019-03-28 20:46:00,1
2019-03-28 20:50:00,1
2019-03-29 19:15:00,1
2019-04-02 08:03:00,1
2019-04-02 08:05:00,1
2019-04-02 08:07:00,2
2019-06-19 21:36:00,2
2019-06-20 19:46:00,1
2019-06-20 19:50:00,1
2019-06-20 22:33:00,1
2019-06-25 01:23:00,1
2019-06-25 01:25:00,1
2019-06-25 01:29:00,2
2019-06-25 01:30:00,1
2019-06-25 01:31:00,1
2019-06-25 01:34:00,2
2019-06-25 01:36:00,1
2019-06-25 01:47:00,1
2019-06-25 01:50:00,2
2019-06-25 01:51:00,1
2019-06-25 01:56:00,1
2019-06-25 01:57:00,3
2019-06-25 14:41:00,1
2019-06-25 14:42:00,2
2019-06-25 14:43:00,5
2019-06-25 14:44:00,1
2019-06-25 14:48:00,1
2019-06-25 14:51:00,2
2019-06-25 14:52:00,1
2019-06-25 14:53:00,1
2019-06-25 14:54:00,1
2019-06-25 14:56:00,1
2019-06-25 15:00:00,1
2019-06-25 15:01:00,1
2019-06-25 15:02:00,1
2019-06-25 15:03:00,1
2019-06-25 15:05:00,1
2019-06-25 15:07:00,1
2019-06-25 15:25:00,1
2019-06-25 15:26:00,2
2019-06-25 15:29:00,1
2019-06-25 15:43:00,1
2019-06-25 15:46:00,1
2019-06-25 15:52:00,2
2019-06-25 15:55:00,1
2019-06-25 15:56:00,1
2019-06-25 15:58:00,1
2019-06-25 17:04:00,1
2019-06-25 17:05:00,1
2019-06-25 17:06:00,1
2019-06-25 17:07:00,1
2019-06-25 17:17:00,1
2019-06-25 17:22:00,1
2019-06-25 17:24:00,4
2019-06-25 17:26:00,1
2019-06-25 17:27:00,1
2019-06-25 17:36:00,1
2019-06-25 17:37:00,2
2019-06-25 17:38:00,1
2019-06-25 17:39:00,2
2019-06-25 17:45:00,1
2019-06-25 17:49:00,1
2019-06-25 17:52:00,1
2019-06-25 17:56:00,1
2019-06-25 18:17:00,1
2019-06-25 18:21:00,1
2019-06-25 18:29:00,1
2019-06-26 00:18:00,1
2019-08-26 10:09:00,1
2019-08-30 02:32:00,2
2019-08-30 02:33:00,1
2019-08-30 02:34:00,2
2019-09-11 02:18:00,1
2019-09-11 02:21:00,1
2019-09-11 04:28:00,2
2019-10-22 18:34:00,1
2019-10-25 03:36:00,1
2019-10-25 03:37:00,1
2019-10-25 03:38:00,1
2019-10-25 03:44:00,1
2019-10-28 20:51:00,1
2019-10-28 20:52:00,4
2019-10-28 20:57:00,1
2019-10-28 20:58:00,1
2019-10-28 21:01:00,1
2019-10-28 21:02:00,1
2019-10-28 21:04:00,2
2019-10-28 21:05:00,2
2019-10-28 21:08:00,1
2019-10-28 21:10:00,1
2019-10-28 21:11:00,1
2019-10-28 21:12:00,1
2019-10-29 18:50:00,1
2019-10-29 18:51:00,1
2019-10-29 18:53:00,1
2019-10-29 18:55:00,1
2019-10-29 18:56:00,2
2019-10-29 18:57:00,1
2019-10-29 18:58:00,1
2019-10-29 19:01:00,1
2019-10-29 19:03:00,1
2019-10-29 19:05:00,1
2019-10-29 19:06:00,1
2019-10-29 20:53:00,2
2019-10-29 20:54:00,1
2019-10-29 20:55:00,2
2019-10-31 16:16:00,1
2019-10-31 16:43:00,1
2019-10-31 16:44:00,1
2019-10-31 19:27:00,1
2019-10-31 19:29:00,1
2019-10-31 19:30:00,1
2019-10-31 19:32:00,1
2019-10-31 19:37:00,1
2019-10-31 19:40:00,1
2019-10-31 19:42:00,1
2019-10-31 21:47:00,1
2019-10-31 21:49:00,2
2019-10-31 21:50:00,1
2019-10-31 21:51:00,1
2019-10-31 21:52:00,2
2019-10-31 21:53:00,3
2019-10-31 21:54:00,2
2019-10-31 21:55:00,1
2019-10-31 21:58:00,1
2019-10-31 21:59:00,1
2019-10-31 22:07:00,1
2019-11-05 00:08:00,2
2019-11-05 00:25:00,1
2019-11-05 17:35:00,1
2019-11-05 17:37:00,2
2019-11-05 17:42:00,7
2019-11-05 17:43:00,2
2019-11-05 23:19:00,3
2019-11-06 22:51:00,1
2019-11-06 22:52:00,1
2019-11-06 22:53:00,1
2019-11-06 23:09:00,1
2019-11-07 01:40:00,1
2019-11-07 02:22:00,1
2019-11-07 02:23:00,1
2019-11-07 02:24:00,1
2019-11-07 03:54:00,1
2019-11-19 21:41:00,1
2019-11-19 22:01:00,1
2019-11-19 22:28:00,1
2019-11-19 22:37:00,1
2019-12-02 22:27:00,1
2019-12-02 22:30:00,1
2019-12-05 00:36:00,1
2019-12-17 13:07:00,1
2019-12-17 13:09:00,1
2019-12-20 12:04:00,1
