3,"SELECT TOP # m.plateifu, m.mangaid, m.objra, m.objdec, m.mngtarg1, m.drp3qual, m.nsa_elpetro_mass, p.log_Mass, m.nsa_z, p.redshift FROM mangadrpall as m JOIN mangapipe3d as p ON m.plateifu = p.plateifu WHERE ( (m.mngtarg1 ! = # or m.mngtarg3 ! = #) and (m.drp3qual < #) and (m.ifudesignsize = #) and (p.log_Mass > #) )"
2019-12-12 18:43:00,1
2019-12-14 10:32:00,2
