18,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid, p.psfMag_r FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.class = GALAXY"
2019-07-29 02:21:00,3
2019-07-29 02:25:00,1
2019-07-29 02:27:00,1
2019-07-29 02:28:00,2
2019-07-29 02:29:00,3
2019-07-29 02:31:00,2
2019-07-29 02:33:00,1
2019-08-01 23:00:00,2
2019-08-03 23:39:00,2
2019-08-03 23:58:00,1
