26,"SELECT z, ra, dec FROM SpecObj WHERE dec BETWEEN # AND # AND ra BETWEEN # AND # AND z BETWEEN # AND #"
2019-05-05 23:34:00,1
2019-05-05 23:35:00,1
2019-05-05 23:37:00,1
2019-05-07 14:38:00,1
2019-05-07 14:40:00,1
2019-05-07 14:48:00,1
2019-05-07 15:40:00,1
2019-05-07 15:43:00,1
2019-05-07 16:26:00,1
2019-05-07 16:29:00,2
2019-05-07 16:35:00,1
2019-05-07 17:04:00,1
2019-05-07 17:08:00,1
2019-05-07 17:16:00,1
2019-05-07 17:21:00,1
2019-05-07 17:24:00,1
2019-05-07 17:26:00,1
2019-05-07 19:16:00,1
2019-05-07 19:17:00,1
2019-05-08 19:25:00,1
2019-05-09 00:35:00,1
2019-05-09 00:49:00,1
2019-05-09 00:50:00,1
2019-05-09 00:51:00,1
2019-05-09 00:52:00,1
