24,"SELECT TOP # s.plate, s.fiberid, s.mjd, s.ra, s.dec, s.z, s.zwarning, g.h_beta_flux, g.h_beta_flux_err, g.oiii_#_flux, g.oiii_#_flux_err, g.nii_#_flux, g.nii_#_flux_err, g.h_alpha_flux, g.h_alpha_flux_err FROM GalSpecLine AS g JOIN SpecObj AS s ON s.specobjid = g.specobjid WHERE s.class = # AND s.zwarning = #"
2019-01-14 08:40:00,1
2019-01-14 08:41:00,2
2019-01-14 09:33:00,1
2019-01-14 09:52:00,1
2019-01-14 09:56:00,1
2019-01-14 10:00:00,1
2019-01-14 10:01:00,1
2019-01-14 10:33:00,1
2019-01-16 19:59:00,2
2019-01-16 20:12:00,1
2019-01-16 20:13:00,1
2019-01-18 10:11:00,1
2019-01-21 09:53:00,1
2019-01-21 09:55:00,1
2019-03-05 10:11:00,1
2019-03-28 11:20:00,1
2019-03-28 12:48:00,1
2019-03-28 15:22:00,1
2019-03-31 06:41:00,2
2019-07-14 12:05:00,1
2019-07-14 12:12:00,1
