3,"SELECT TOP # p.objid, p.r, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE class = GALAXY AND"
2019-06-09 13:26:00,1
2019-06-09 13:28:00,2
