3,"SELECT TOP # p.objid, p.b, p.l, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.b BETWEEN # AND # AND p.l BETWEEN # AND # AND class = STAR"
2019-06-27 02:26:00,2
2019-06-27 02:28:00,1
