40,select ra from SpecObjAll where class = # and subclass like # group by ra having count (ra) > #) order by ra
2019-01-05 08:02:00,1
2019-01-07 02:25:00,1
2019-01-07 03:11:00,1
2019-02-14 08:58:00,1
2019-02-14 08:59:00,1
2019-02-22 14:41:00,1
2019-02-22 14:45:00,1
2019-02-22 14:46:00,1
2019-02-22 14:47:00,1
2019-02-22 14:53:00,2
2019-02-22 14:54:00,1
2019-02-23 10:08:00,2
2019-02-23 10:20:00,2
2019-02-23 14:05:00,1
2019-02-23 15:12:00,1
2019-02-23 15:19:00,1
2019-02-23 15:29:00,1
2019-02-23 15:32:00,1
2019-02-24 01:16:00,1
2019-02-27 02:39:00,1
2019-02-27 02:40:00,1
2019-02-27 02:42:00,1
2019-02-27 03:26:00,2
2019-02-27 03:27:00,1
2019-02-27 03:43:00,1
2019-02-27 03:44:00,2
2019-05-05 08:00:00,1
2019-05-05 08:01:00,1
2019-05-05 08:02:00,1
2019-05-05 08:09:00,1
2019-05-27 04:00:00,1
2019-05-27 04:02:00,1
2019-05-27 06:43:00,1
2019-05-27 08:35:00,2
