35,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec FROM ..SpecObj as s WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < #"
2019-06-19 15:02:00,1
2019-06-19 15:04:00,1
2019-06-19 15:20:00,1
2019-10-26 02:22:00,1
2019-10-26 02:42:00,1
2019-10-26 02:51:00,1
2019-10-26 02:55:00,1
2019-10-26 02:56:00,1
2019-10-26 02:57:00,2
2019-10-26 03:00:00,1
2019-10-26 03:01:00,1
2019-10-26 03:02:00,1
2019-10-27 16:04:00,1
2019-10-27 16:12:00,1
2019-10-27 16:14:00,2
2019-10-28 16:40:00,1
2019-10-29 01:10:00,1
2019-10-29 01:11:00,1
2019-10-29 01:12:00,1
2019-10-30 13:41:00,1
2019-10-30 13:43:00,1
2019-10-30 13:45:00,1
2019-10-30 14:00:00,1
2019-10-30 14:03:00,1
2019-10-30 16:15:00,1
2019-10-30 16:21:00,1
2019-10-30 16:35:00,1
2019-10-30 16:36:00,2
2019-11-02 03:21:00,2
2019-11-02 03:22:00,2
