49,SELECT field FROM Field Where run = # and field> =#
2019-04-14 12:49:00,1
2019-04-14 14:51:00,1
2019-04-14 14:52:00,1
2019-04-14 19:26:00,1
2019-04-15 09:10:00,1
2019-04-15 17:18:00,1
2019-04-15 18:11:00,1
2019-05-02 04:20:00,1
2019-05-02 05:15:00,1
2019-05-03 02:17:00,1
2019-05-08 19:00:00,2
2019-05-08 20:01:00,1
2019-05-09 00:39:00,1
2019-05-09 08:52:00,1
2019-05-09 09:15:00,1
2019-05-09 09:17:00,1
2019-05-09 09:32:00,1
2019-05-09 09:47:00,1
2019-05-09 10:25:00,2
2019-05-09 11:49:00,2
2019-05-09 12:31:00,1
2019-05-09 12:54:00,1
2019-05-09 12:55:00,1
2019-05-09 13:01:00,1
2019-05-09 13:04:00,1
2019-05-09 13:10:00,1
2019-05-09 13:16:00,1
2019-05-09 13:20:00,1
2019-05-09 13:45:00,1
2019-05-09 13:48:00,1
2019-05-09 13:49:00,1
2019-05-09 14:04:00,2
2019-05-09 14:08:00,1
2019-05-09 14:14:00,2
2019-05-09 14:25:00,2
2019-05-09 14:44:00,1
2019-05-09 14:54:00,1
2019-05-09 14:59:00,1
2019-05-09 15:16:00,1
2019-05-09 15:20:00,1
2019-05-09 15:21:00,1
2019-05-09 16:10:00,1
2019-05-19 12:20:00,1
