2,"SELECT p.SpecObjID, p.photoRa, p.photoDec, p.z, p.zerr FROM SpecObj AS s JOIN SpecPhotoAll AS p ON s.specObjID = p.SpecObjID WHERE photoRa BETWEEN # AND # AND photoDec BETWEEN # AND # AND CLASS = # AND (CLEAN = #) AND p.psfmag_r-extinction_r < #"
2019-10-31 17:10:00,1
2019-10-31 17:11:00,1
