4,"SELECT TOP # p.objID, p.ra, p.dec FROM PhotoTag AS p join photoprimaryDR7 p7 on p.objid = p7.dr8objid where p7.dr7objid IN () order by p.ra"
2019-01-11 16:55:00,3
2019-01-11 21:54:00,1
