2,"select type, clean, ra, dec, cModelMag_g, deVMag_g, deVRad_g, deVPhi_g, deVAB_g, expMag_g, expRad_g, expPhi_g, expAB_g into mydb.dexspring from PhotoPrimary where ra between # and # and dec between # and #"
2019-05-27 08:53:00,1
2019-05-27 08:55:00,1
