2820,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, n.distance*# FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-11-04 23:34:00,1
2019-11-04 23:35:00,1
2019-11-04 23:37:00,1
2019-11-04 23:39:00,2
2019-11-04 23:40:00,1
2019-11-05 17:11:00,1
2019-11-05 17:14:00,1
2019-11-05 17:15:00,1
2019-11-05 17:16:00,1
2019-11-05 17:17:00,1
2019-11-05 17:18:00,5
2019-11-05 17:19:00,1
2019-11-05 17:23:00,1
2019-11-05 17:26:00,5
2019-11-05 17:29:00,1
2019-11-05 17:31:00,5
2019-11-05 17:32:00,1
2019-11-05 17:37:00,5
2019-11-05 17:38:00,1
2019-11-05 17:39:00,2
2019-11-05 17:40:00,3
2019-11-05 17:42:00,4
2019-11-05 17:43:00,1
2019-11-05 17:45:00,1
2019-11-05 17:46:00,7
2019-11-05 17:47:00,6
2019-11-05 17:48:00,3
2019-11-05 17:50:00,2
2019-11-05 17:51:00,10
2019-11-05 17:53:00,7
2019-11-05 17:54:00,3
2019-11-05 17:56:00,1
2019-11-05 17:57:00,7
2019-11-05 17:58:00,1
2019-11-05 17:59:00,5
2019-11-05 18:00:00,1
2019-11-05 18:02:00,6
2019-11-05 18:03:00,6
2019-11-05 18:05:00,3
2019-11-05 18:07:00,1
2019-11-05 18:08:00,2
2019-11-05 18:09:00,2
2019-11-05 18:10:00,8
2019-11-05 18:11:00,3
2019-11-05 18:12:00,2
2019-11-05 18:14:00,2
2019-11-05 18:15:00,2
2019-11-07 17:45:00,1
2019-11-07 17:46:00,1
2019-11-07 19:13:00,3
2019-11-07 19:14:00,2
2019-11-08 02:34:00,1
2019-11-08 02:37:00,5
2019-11-08 02:42:00,1
2019-11-08 02:43:00,4
2019-11-08 02:45:00,5
2019-11-08 02:53:00,10
2019-11-08 03:05:00,5
2019-11-08 06:17:00,5
2019-11-08 06:20:00,5
2019-11-08 14:02:00,3
2019-11-08 14:03:00,12
2019-11-08 14:05:00,5
2019-11-08 14:08:00,5
2019-11-08 14:11:00,5
2019-11-08 14:13:00,5
2019-11-08 19:19:00,1
2019-11-08 19:20:00,1
2019-11-08 20:06:00,5
2019-11-08 20:16:00,5
2019-11-08 20:18:00,10
2019-11-08 20:22:00,5
2019-11-08 20:23:00,5
2019-11-08 20:26:00,5
2019-11-08 20:44:00,2
2019-11-08 20:45:00,3
2019-11-08 20:46:00,2
2019-11-08 20:48:00,1
2019-11-08 20:50:00,1
2019-11-08 20:51:00,2
2019-11-08 21:30:00,5
2019-11-19 19:53:00,1
2019-11-19 19:55:00,3
2019-11-19 19:56:00,2
2019-11-19 19:57:00,2
2019-11-19 19:58:00,2
2019-11-19 19:59:00,7
2019-11-19 20:01:00,8
2019-11-19 20:02:00,13
2019-11-19 20:03:00,3
2019-11-19 20:08:00,3
2019-11-19 20:09:00,3
2019-11-30 19:17:00,5
2019-11-30 19:20:00,5
2019-11-30 19:22:00,5
2019-11-30 19:39:00,5
2019-11-30 20:45:00,1
2019-11-30 21:03:00,5
2019-11-30 21:06:00,3
2019-11-30 21:07:00,6
2019-11-30 21:10:00,2
2019-11-30 21:11:00,6
2019-11-30 21:24:00,3
2019-11-30 21:35:00,3
2019-11-30 21:36:00,3
2019-11-30 21:49:00,3
2019-11-30 21:50:00,3
2019-11-30 22:01:00,5
2019-12-01 22:05:00,1
2019-12-01 22:06:00,1
2019-12-02 16:37:00,1
