5979,"select specObjID, objID, ra, dec, z from SpecPhotoAll where ra between # and # and dec between # and # and z between # and # and type = #"
2019-02-09 02:34:00,20
2019-02-09 02:35:00,79
2019-02-09 02:36:00,75
2019-02-09 02:37:00,79
2019-02-09 02:38:00,36
2019-02-09 02:39:00,28
2019-02-09 02:40:00,81
2019-02-09 02:41:00,69
2019-02-09 02:42:00,62
2019-02-09 02:43:00,40
2019-02-09 02:44:00,78
2019-02-09 02:45:00,71
2019-02-09 02:46:00,75
2019-02-09 02:47:00,82
2019-02-09 02:48:00,80
2019-02-09 02:49:00,74
2019-02-09 02:50:00,76
2019-02-09 02:51:00,75
2019-02-09 02:52:00,74
2019-02-09 02:53:00,74
2019-02-09 02:54:00,80
2019-02-09 02:55:00,67
2019-02-09 02:56:00,64
2019-02-09 02:57:00,62
2019-02-09 02:58:00,77
2019-02-09 02:59:00,78
2019-02-09 03:00:00,80
2019-02-09 03:01:00,76
2019-02-09 03:02:00,79
2019-02-09 03:03:00,23
2019-02-11 04:27:00,15
2019-02-11 04:28:00,46
2019-02-11 04:29:00,65
2019-02-11 04:30:00,67
2019-02-11 04:31:00,64
2019-02-11 04:32:00,65
2019-02-11 04:33:00,65
2019-02-11 04:34:00,61
2019-02-11 04:35:00,63
2019-02-11 04:36:00,62
2019-02-11 04:37:00,65
2019-02-11 04:38:00,61
2019-02-12 14:19:00,5
2019-02-12 14:20:00,7
2019-02-12 14:21:00,7
2019-02-12 14:22:00,7
2019-02-12 14:23:00,8
2019-02-12 14:24:00,7
2019-02-12 14:25:00,8
2019-02-12 14:26:00,7
2019-02-12 14:27:00,8
2019-02-12 14:28:00,8
2019-02-12 14:29:00,8
2019-02-12 14:30:00,8
2019-02-12 14:31:00,7
2019-02-12 14:32:00,5
2019-02-12 15:21:00,29
2019-02-12 15:22:00,70
2019-02-12 17:06:00,45
2019-02-12 17:07:00,78
2019-02-17 20:48:00,52
2019-02-17 20:49:00,53
2019-02-17 20:51:00,53
2019-02-17 20:52:00,111
2019-02-17 20:53:00,102
2019-02-17 20:54:00,97
2019-02-17 20:55:00,103
2019-02-17 20:56:00,88
2019-02-17 20:57:00,104
2019-02-17 20:58:00,93
2019-02-17 20:59:00,102
2019-02-17 21:00:00,99
2019-02-17 21:01:00,97
2019-02-17 21:02:00,94
2019-02-17 21:03:00,92
2019-02-17 21:04:00,84
2019-02-17 21:05:00,94
2019-02-17 21:06:00,86
2019-02-17 21:07:00,92
2019-02-17 21:08:00,93
2019-02-17 21:09:00,93
2019-02-17 21:10:00,87
2019-02-17 21:11:00,88
2019-02-17 21:12:00,62
2019-05-21 22:21:00,31
2019-05-21 22:22:00,45
2019-05-21 22:23:00,22
2019-05-21 22:26:00,8
2019-05-21 22:27:00,14
2019-05-25 09:44:00,32
2019-05-28 20:54:00,11
2019-05-28 20:55:00,25
2019-05-28 20:56:00,23
2019-05-28 20:57:00,19
2019-05-28 20:58:00,24
2019-05-28 20:59:00,76
2019-05-28 21:00:00,33
2019-05-28 22:39:00,1
2019-05-28 22:42:00,1
2019-05-28 22:50:00,1
2019-05-28 22:53:00,2
2019-05-28 22:54:00,1
2019-05-28 23:14:00,4
2019-05-28 23:15:00,29
2019-05-28 23:18:00,1
2019-05-28 23:23:00,76
2019-05-28 23:24:00,134
2019-05-28 23:25:00,1
2019-05-28 23:29:00,57
2019-05-28 23:30:00,130
2019-05-28 23:31:00,24
