62,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = #"
2019-02-12 16:32:00,1
2019-03-01 01:57:00,1
2019-03-04 11:38:00,1
2019-03-04 11:41:00,1
2019-03-04 13:23:00,1
2019-03-04 14:39:00,1
2019-03-04 14:41:00,1
2019-03-04 15:21:00,1
2019-03-05 11:12:00,1
2019-03-05 12:43:00,1
2019-03-05 15:23:00,1
2019-03-06 08:57:00,1
2019-03-06 16:17:00,1
2019-03-06 16:19:00,1
2019-03-08 08:58:00,1
2019-03-09 10:29:00,1
2019-03-11 15:17:00,1
2019-03-28 14:29:00,1
2019-04-10 11:19:00,1
2019-04-12 09:09:00,1
2019-04-24 10:47:00,1
2019-04-30 08:27:00,1
2019-04-30 08:29:00,1
2019-04-30 08:31:00,1
2019-04-30 08:32:00,1
2019-04-30 08:33:00,1
2019-05-02 13:48:00,1
2019-05-04 11:35:00,1
2019-05-11 01:09:00,1
2019-05-24 08:28:00,1
2019-05-24 08:29:00,3
2019-06-19 23:37:00,1
2019-06-26 21:34:00,2
2019-07-01 19:47:00,1
2019-07-03 07:26:00,1
2019-07-03 07:30:00,1
2019-07-03 07:36:00,1
2019-07-03 07:43:00,2
2019-07-03 07:45:00,2
2019-07-03 07:49:00,1
2019-08-07 21:11:00,1
2019-08-14 17:33:00,1
2019-08-15 02:13:00,1
2019-08-22 20:12:00,1
2019-09-30 09:24:00,1
2019-10-01 23:31:00,1
2019-10-05 14:26:00,1
2019-11-04 06:05:00,1
2019-11-04 08:26:00,2
2019-11-04 08:28:00,1
2019-11-04 16:16:00,1
2019-11-06 18:26:00,1
2019-11-25 10:42:00,1
2019-12-08 18:55:00,1
2019-12-08 19:00:00,1
2019-12-09 18:33:00,1
