652,"SELECT TOP # G.ra, G.dec, G.modelMag_r, G.modelMagErr_r, G.extinction_r, sp.z, sp.zErr, G.modelFlux_u, G.modelFlux_g, G.modelFlux_r, G.modelFlux_i, G.modelFlux_z, G.modelFluxIvar_u, G.modelFluxIvar_g, G.modelFluxIvar_r, G.modelFluxIvar_i, G.modelFluxIvar_z, GN.distance FROM dbo.fGetNearbyObjEq (#, #, #) AS GN JOIN Galaxy AS G ON GN.objID = G.objID JOIN PhotoTag AS pt ON pt.objID = G.objID JOIN Photoz AS pz ON GN.objID = pz.objID JOIN specPhoto AS sp ON GN.objID = sp.objID ORDER by distance"
2019-03-28 02:44:00,4
2019-03-28 02:45:00,25
2019-03-28 02:46:00,27
2019-03-28 02:47:00,25
2019-03-28 02:48:00,27
2019-03-28 02:49:00,26
2019-03-28 02:50:00,26
2019-03-28 02:51:00,26
2019-03-28 02:52:00,27
2019-03-28 02:53:00,26
2019-03-28 02:54:00,1
2019-03-28 02:56:00,19
2019-03-28 02:57:00,26
2019-03-28 02:58:00,26
2019-03-28 02:59:00,26
2019-03-28 03:00:00,26
2019-03-28 03:01:00,25
2019-03-28 03:02:00,26
2019-03-28 03:03:00,24
2019-03-28 03:04:00,26
2019-03-28 03:05:00,25
2019-03-28 03:06:00,27
2019-03-28 03:07:00,25
2019-03-28 03:08:00,27
2019-03-28 03:09:00,25
2019-03-28 03:10:00,24
2019-03-28 03:11:00,24
2019-03-28 03:12:00,11
