2,"SELECT s.specobjid, s.ra, s.dec, s.class, s.z as redshift FROM SpecObj AS s WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND #"
2019-08-28 10:32:00,1
2019-08-30 08:12:00,1
