119,"select top # z, ra, dec, bestObjID from specObj where class = # AND z > # AND zWarning = #"
2019-01-08 09:16:00,1
2019-01-08 09:17:00,1
2019-01-08 09:19:00,1
2019-01-08 09:21:00,1
2019-01-17 16:45:00,1
2019-01-22 15:01:00,1
2019-01-28 17:30:00,1
2019-02-07 00:38:00,1
2019-02-07 10:08:00,2
2019-02-09 21:57:00,1
2019-02-10 16:31:00,1
2019-02-12 13:40:00,1
2019-02-19 00:52:00,1
2019-02-21 05:26:00,1
2019-02-21 05:33:00,1
2019-02-21 17:51:00,1
2019-02-21 19:35:00,1
2019-03-11 09:02:00,1
2019-03-13 14:02:00,1
2019-03-13 14:03:00,1
2019-03-15 22:09:00,1
2019-03-22 18:08:00,1
2019-03-22 19:11:00,1
2019-03-22 19:44:00,2
2019-03-22 20:02:00,1
2019-03-31 05:28:00,2
2019-04-01 21:35:00,1
2019-04-01 21:36:00,1
2019-04-04 18:17:00,1
2019-04-09 17:16:00,5
2019-04-09 17:17:00,1
2019-04-09 17:25:00,1
2019-04-19 14:03:00,1
2019-04-26 05:20:00,1
2019-05-10 07:31:00,1
2019-05-10 07:38:00,1
2019-06-03 19:43:00,1
2019-06-06 10:00:00,1
2019-06-06 10:02:00,2
2019-06-11 17:39:00,1
2019-06-14 00:05:00,2
2019-06-14 18:04:00,1
2019-06-15 10:05:00,1
2019-06-16 13:51:00,1
2019-06-16 14:52:00,2
2019-06-16 14:53:00,1
2019-06-19 16:18:00,1
2019-06-19 22:18:00,1
2019-06-20 15:40:00,1
2019-06-22 15:23:00,1
2019-06-22 17:12:00,1
2019-06-22 17:17:00,1
2019-06-24 20:09:00,1
2019-06-25 06:39:00,1
2019-06-25 14:27:00,1
2019-06-26 13:57:00,1
2019-06-26 13:58:00,1
2019-06-26 14:07:00,4
2019-06-27 15:17:00,2
2019-06-27 15:20:00,1
2019-06-27 15:48:00,1
2019-06-27 21:21:00,2
2019-06-27 21:22:00,2
2019-06-28 11:43:00,1
2019-07-02 13:05:00,1
2019-07-07 17:24:00,1
2019-07-09 13:10:00,1
2019-07-17 05:44:00,1
2019-07-23 12:04:00,1
2019-07-24 13:46:00,1
2019-07-24 13:47:00,1
2019-07-24 13:50:00,1
2019-07-27 22:29:00,1
2019-07-29 13:06:00,1
2019-07-30 00:01:00,1
2019-08-05 10:22:00,1
2019-08-10 13:47:00,1
2019-08-10 13:48:00,1
2019-08-13 09:40:00,1
2019-08-14 18:29:00,1
2019-08-22 23:46:00,1
2019-08-22 23:47:00,1
2019-09-23 14:05:00,1
2019-09-24 10:56:00,1
2019-09-27 15:47:00,1
2019-09-28 21:51:00,1
2019-10-02 07:36:00,1
2019-10-03 13:57:00,1
2019-10-08 12:09:00,1
2019-10-16 17:58:00,1
2019-10-18 04:21:00,1
2019-10-18 04:22:00,1
2019-10-18 04:27:00,1
2019-10-24 10:22:00,1
2019-10-24 10:27:00,1
2019-11-01 06:09:00,1
2019-11-14 04:16:00,1
2019-11-24 16:44:00,1
2019-11-26 13:17:00,1
2019-12-04 11:06:00,1
2019-12-11 08:28:00,1
2019-12-12 18:36:00,1
2019-12-14 01:42:00,1
