32,"select top # objid, ra, dec, r from galaxy where clean = #"
2019-01-08 13:52:00,1
2019-02-10 18:03:00,1
2019-02-18 16:27:00,1
2019-03-27 09:51:00,1
2019-03-27 09:54:00,1
2019-04-11 05:42:00,1
2019-04-11 08:46:00,1
2019-04-12 06:57:00,1
2019-04-16 02:41:00,2
2019-04-16 02:42:00,1
2019-05-22 02:28:00,1
2019-05-22 02:32:00,1
2019-05-22 02:41:00,1
2019-06-02 11:29:00,1
2019-06-02 11:30:00,1
2019-06-02 11:32:00,1
2019-06-06 05:50:00,1
2019-06-06 14:41:00,1
2019-06-15 03:43:00,1
2019-07-08 07:48:00,1
2019-07-22 14:53:00,1
2019-07-22 14:56:00,1
2019-08-01 13:49:00,1
2019-09-20 08:02:00,1
2019-09-26 19:24:00,2
2019-09-26 19:25:00,2
2019-11-06 13:28:00,1
2019-11-06 13:48:00,1
2019-12-30 09:27:00,1
