3,"SELECT TOP # p.objid, p.ra, p.dec , p.u, p.g, p.r, p.i, p.z , p.camcol, p.field , p.modelFlux_g, p.modelFluxIvar_g , s.specobjid, s.class, s.z as redshift , s.plate, s.mjd, s.fiberid, s.z*#/# as rs_dist_MPC , POWER (#, (p.g+#+#) /#) /# as mag_dist_g_MPC FROM PhotoObj AS p INNER JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # and # and s.z BETWEEN # AND # AND s.class = #"
2019-07-27 06:58:00,1
2019-07-27 07:18:00,1
2019-07-27 07:54:00,1
