163,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.z as redshift, s.zErr as e_redshift, s.zwarning, p.petrorad_u, p.petrorad_g, p.petrorad_r, p.petrorad_i, p.petrorad_z, p.petroraderr_u, p.petroraderr_g, p.petroraderr_r, p.petroraderr_i, p.petroraderr_z from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.g BETWEEN # and #) order by p.g"
2019-01-14 07:09:00,1
2019-01-14 07:54:00,1
2019-01-14 10:02:00,1
2019-01-14 10:09:00,1
2019-01-14 10:19:00,1
2019-01-14 10:20:00,1
2019-01-14 10:22:00,1
2019-01-14 10:25:00,1
2019-01-14 10:27:00,2
2019-01-14 10:29:00,1
2019-01-14 10:38:00,1
2019-01-14 10:47:00,1
2019-01-14 10:51:00,1
2019-01-14 10:52:00,2
2019-01-16 04:02:00,1
2019-01-16 04:03:00,1
2019-01-16 04:05:00,1
2019-01-16 04:07:00,1
2019-01-16 04:25:00,1
2019-01-16 04:27:00,2
2019-01-16 04:28:00,1
2019-01-16 04:30:00,1
2019-01-16 07:47:00,3
2019-01-16 07:48:00,2
2019-01-16 07:51:00,1
2019-01-16 08:00:00,1
2019-01-16 08:02:00,1
2019-01-16 08:22:00,1
2019-01-16 08:33:00,1
2019-01-16 08:35:00,1
2019-01-16 08:40:00,1
2019-01-16 08:41:00,1
2019-01-17 07:35:00,1
2019-01-17 07:37:00,1
2019-01-17 07:40:00,1
2019-01-17 07:45:00,1
2019-01-17 08:02:00,1
2019-01-17 08:04:00,1
2019-01-17 08:06:00,1
2019-01-18 06:20:00,1
2019-01-21 07:00:00,1
2019-01-21 07:05:00,1
2019-01-21 07:07:00,1
2019-01-21 07:10:00,1
2019-01-21 07:16:00,1
2019-01-21 07:18:00,1
2019-01-21 07:21:00,1
2019-01-31 08:10:00,1
2019-01-31 08:26:00,1
2019-01-31 08:34:00,1
2019-02-01 13:22:00,1
2019-02-01 13:24:00,1
2019-02-01 13:29:00,1
2019-02-01 13:31:00,1
2019-02-01 13:32:00,1
2019-02-01 13:52:00,1
2019-02-01 13:54:00,1
2019-02-02 14:48:00,1
2019-02-10 00:58:00,1
2019-02-10 01:02:00,1
2019-02-10 01:04:00,1
2019-02-10 01:07:00,1
2019-02-10 01:10:00,1
2019-02-10 01:15:00,1
2019-02-16 10:58:00,1
2019-02-16 11:04:00,1
2019-02-16 11:08:00,1
2019-02-16 11:14:00,1
2019-02-16 11:18:00,1
2019-02-16 11:25:00,1
2019-02-16 11:32:00,1
2019-02-16 11:41:00,1
2019-02-16 11:42:00,1
2019-02-16 11:44:00,1
2019-02-16 11:49:00,1
2019-02-16 11:51:00,1
2019-02-16 11:55:00,3
2019-02-16 11:56:00,1
2019-02-17 10:25:00,1
2019-02-17 10:27:00,1
2019-02-17 10:41:00,2
2019-02-17 10:51:00,1
2019-02-19 12:28:00,1
2019-02-19 12:31:00,1
2019-02-19 12:32:00,1
2019-02-19 12:34:00,1
2019-02-19 12:37:00,1
2019-02-19 12:38:00,1
2019-03-28 10:35:00,1
2019-03-28 10:37:00,1
2019-03-28 10:38:00,1
2019-03-28 10:39:00,1
2019-03-28 10:42:00,1
2019-05-24 16:30:00,1
2019-05-24 16:39:00,1
2019-05-26 01:06:00,1
2019-05-26 01:09:00,1
2019-05-26 01:11:00,1
2019-05-26 01:35:00,1
2019-05-26 01:52:00,1
2019-05-26 01:56:00,1
2019-05-26 01:59:00,1
2019-05-26 02:01:00,1
2019-05-26 02:03:00,1
2019-05-26 02:05:00,2
2019-05-26 02:10:00,1
2019-05-26 02:12:00,1
2019-05-26 02:32:00,1
2019-05-26 02:35:00,1
2019-05-26 02:36:00,2
2019-05-26 02:37:00,1
2019-05-26 02:38:00,1
2019-05-26 02:39:00,1
2019-05-26 02:40:00,1
2019-05-26 02:42:00,1
2019-05-26 02:43:00,1
2019-05-26 02:44:00,2
2019-05-26 02:50:00,1
2019-05-26 02:53:00,1
2019-05-26 02:54:00,1
2019-05-26 03:00:00,1
2019-05-26 03:01:00,1
2019-05-26 03:02:00,1
2019-05-26 03:03:00,1
2019-05-26 03:04:00,1
2019-05-26 03:49:00,1
2019-05-26 03:52:00,1
2019-05-26 03:55:00,1
2019-05-28 03:56:00,1
2019-05-29 11:07:00,1
2019-06-04 11:50:00,1
2019-06-04 12:04:00,1
2019-06-04 12:13:00,1
2019-06-04 12:20:00,1
2019-06-04 12:24:00,1
2019-06-04 12:27:00,1
2019-06-04 12:41:00,1
2019-06-11 11:52:00,1
2019-06-11 11:56:00,1
2019-06-11 12:14:00,1
2019-06-11 12:19:00,1
2019-06-11 12:41:00,1
2019-06-11 16:01:00,1
2019-06-11 16:02:00,1
2019-06-11 16:21:00,1
2019-06-11 17:07:00,1
2019-06-11 17:27:00,1
2019-06-11 17:28:00,1
2019-06-16 02:29:00,1
2019-06-16 03:27:00,1
2019-06-16 03:53:00,1
