214,"SELECT DISTINCT p.ra, p.dec, p.modelMag_r FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-01 10:56:00,43
2019-03-01 10:57:00,64
2019-03-01 10:58:00,59
2019-03-01 10:59:00,24
2019-03-01 11:00:00,24
