2,"SELECT a.objID, a.l, a.b, f.band, f.profMean, a.airmass_r into mydb.MyTable from PhotoObjAll as a JOIN PhotoProfile as f ON a.objID = f.objID JOIN SpecObjAll as s ON a.objID = s.bestObjID WHERE a.b > # AND a.b < # AND a.l > # AND a.l < # AND f.profMean < # AND f.bin = # AND f.band = #"
2019-12-02 16:00:00,1
2019-12-02 17:19:00,1
