25,select fieldid from field where cccol_u between .# and .# and skyframes_r between .# and .#
2019-01-28 08:19:00,12
2019-01-28 15:35:00,2
2019-01-28 15:41:00,2
2019-01-28 15:45:00,7
2019-01-28 21:06:00,2
