770,"select top # petroRad_i, expAB_i, ObjID from galaxy where ObjID IN ()"
2019-06-28 06:13:00,5
2019-06-28 19:14:00,5
2019-06-29 19:10:00,4
2019-06-29 19:15:00,6
2019-06-29 19:18:00,1
2019-06-29 19:26:00,3
2019-06-29 19:30:00,2
2019-06-29 19:32:00,2
2019-06-29 19:34:00,2
2019-06-29 19:35:00,1
2019-06-29 19:36:00,1
2019-06-29 19:37:00,1
2019-06-29 19:39:00,2
2019-06-29 19:40:00,3
2019-06-29 19:43:00,2
2019-07-22 06:57:00,8
2019-07-22 07:00:00,10
2019-07-22 07:14:00,10
2019-07-24 05:52:00,4
2019-07-24 06:18:00,8
2019-07-24 06:19:00,15
2019-07-24 18:54:00,17
2019-07-24 19:08:00,4
2019-07-24 19:10:00,8
2019-07-24 19:11:00,10
2019-07-24 19:12:00,20
2019-07-24 19:13:00,4
2019-07-24 19:18:00,8
2019-07-24 19:19:00,12
2019-07-24 19:22:00,3
2019-07-24 19:23:00,7
2019-07-24 21:31:00,3
2019-07-24 21:32:00,12
2019-07-24 21:33:00,4
2019-07-24 23:01:00,25
2019-07-24 23:03:00,8
2019-07-25 01:56:00,8
2019-07-25 01:57:00,30
2019-07-25 02:08:00,35
2019-07-25 02:15:00,35
2019-07-25 02:16:00,35
2019-07-25 02:19:00,35
2019-07-25 03:31:00,3
2019-07-30 22:03:00,2
2019-07-30 22:04:00,29
2019-08-09 21:57:00,4
2019-08-09 22:00:00,7
2019-08-09 22:01:00,1
2019-11-11 20:27:00,2
2019-11-11 20:34:00,2
2019-11-11 21:15:00,13
2019-11-11 21:20:00,14
2019-11-11 21:21:00,23
2019-11-11 21:31:00,7
2019-11-11 21:33:00,5
2019-11-11 21:36:00,33
2019-11-11 21:49:00,29
2019-11-11 21:51:00,33
2019-11-13 21:41:00,6
2019-11-13 21:43:00,22
2019-11-14 01:17:00,24
2019-11-14 01:19:00,3
2019-11-14 01:20:00,8
2019-11-14 01:22:00,17
2019-11-14 01:23:00,25
2019-11-25 18:40:00,33
2019-12-10 22:22:00,7
