19,"SELECT TOP # s.Plate, s.MJD, s.FiberID FROM ..specObj s WHERE s.class = # AND s.z < # AND s.zWarning = # AND s.subClass = # AND s.sciencePrimary > # AND dbo.fFieldQuality (#) > #"
2019-07-29 16:27:00,1
2019-07-29 19:48:00,1
2019-07-29 19:50:00,1
2019-07-29 20:39:00,1
2019-07-29 21:00:00,1
2019-07-29 21:47:00,1
2019-07-29 22:11:00,1
2019-07-29 22:25:00,1
2019-08-01 00:43:00,1
2019-08-01 00:44:00,1
2019-08-01 01:04:00,1
2019-08-01 01:15:00,1
2019-08-01 01:18:00,1
2019-08-01 01:19:00,1
2019-08-05 04:56:00,1
2019-08-05 21:06:00,1
2019-08-05 23:40:00,1
2019-08-06 02:13:00,1
2019-08-07 01:55:00,1
