173,"select ra, dec, u, g, r, i, z, err_u, err_g, err_r, err_i, err_z from star where ra> # and ra< # and dec> # and dec< # and err_r< # and err_g< #"
2019-01-08 22:49:00,1
2019-01-08 22:55:00,1
2019-01-08 23:22:00,1
2019-01-08 23:32:00,1
2019-01-08 23:35:00,1
2019-01-08 23:43:00,1
2019-01-08 23:46:00,1
2019-01-08 23:53:00,1
2019-01-08 23:54:00,1
2019-01-09 00:04:00,1
2019-01-09 00:09:00,1
2019-01-09 00:17:00,1
2019-01-09 00:24:00,1
2019-01-09 00:32:00,1
2019-01-09 00:38:00,1
2019-01-09 00:48:00,1
2019-01-10 19:44:00,1
2019-01-10 19:51:00,1
2019-01-10 19:56:00,1
2019-01-10 21:04:00,1
2019-01-10 21:09:00,1
2019-01-10 21:19:00,1
2019-01-10 21:24:00,1
2019-01-10 21:31:00,1
2019-01-10 21:33:00,1
2019-01-10 21:37:00,1
2019-01-10 21:46:00,1
2019-01-10 21:51:00,1
2019-01-10 21:57:00,1
2019-01-14 18:04:00,1
2019-01-14 18:12:00,1
2019-01-14 18:15:00,1
2019-01-14 18:25:00,1
2019-01-14 18:26:00,1
2019-01-14 19:11:00,1
2019-01-14 19:14:00,1
2019-01-14 19:20:00,1
2019-01-14 19:26:00,1
2019-01-14 19:31:00,1
2019-01-14 19:35:00,1
2019-01-14 19:37:00,1
2019-01-14 19:38:00,1
2019-01-14 19:40:00,1
2019-01-14 19:45:00,1
2019-01-14 19:53:00,1
2019-01-14 19:59:00,1
2019-01-14 20:05:00,2
2019-01-14 20:12:00,2
2019-01-15 23:45:00,1
2019-01-15 23:49:00,1
2019-01-15 23:53:00,1
2019-01-16 00:10:00,1
2019-01-16 00:12:00,1
2019-01-16 00:14:00,1
2019-01-16 00:16:00,1
2019-01-16 00:18:00,1
2019-01-16 00:20:00,1
2019-01-16 00:23:00,1
2019-01-16 00:25:00,1
2019-01-16 00:27:00,1
2019-01-16 00:29:00,1
2019-01-16 00:30:00,1
2019-01-16 00:32:00,1
2019-01-16 00:34:00,1
2019-01-16 00:45:00,1
2019-01-16 00:50:00,1
2019-01-16 00:52:00,1
2019-01-16 00:55:00,1
2019-01-16 00:58:00,1
2019-01-16 01:01:00,1
2019-01-17 21:07:00,1
2019-01-17 21:10:00,1
2019-01-17 21:12:00,1
2019-01-17 21:13:00,1
2019-01-17 21:16:00,1
2019-01-17 21:18:00,1
2019-01-17 21:20:00,1
2019-01-17 21:24:00,1
2019-01-17 21:28:00,1
2019-01-17 21:33:00,1
2019-01-17 21:36:00,1
2019-01-17 21:38:00,1
2019-01-17 21:41:00,1
2019-01-17 21:45:00,1
2019-01-17 21:48:00,1
2019-01-17 21:50:00,1
2019-01-17 21:51:00,1
2019-01-17 21:54:00,1
2019-01-17 22:02:00,1
2019-01-17 22:03:00,1
2019-01-17 22:05:00,1
2019-01-17 22:08:00,1
2019-01-17 22:10:00,1
2019-01-17 22:13:00,1
2019-01-17 22:16:00,1
2019-01-17 22:18:00,1
2019-01-17 22:20:00,1
2019-01-17 22:22:00,1
2019-01-17 22:25:00,1
2019-01-18 00:17:00,1
2019-01-18 00:18:00,1
2019-01-18 00:20:00,1
2019-01-18 00:21:00,1
2019-01-18 00:23:00,1
2019-01-18 00:29:00,1
2019-01-18 00:30:00,1
2019-01-18 00:32:00,1
2019-01-18 22:02:00,1
2019-01-18 22:03:00,1
2019-01-18 22:04:00,1
2019-01-18 22:05:00,1
2019-01-18 22:07:00,1
2019-01-18 22:08:00,1
2019-01-18 22:10:00,1
2019-01-18 22:57:00,1
2019-01-18 22:59:00,1
2019-01-18 23:05:00,1
2019-01-18 23:07:00,1
2019-01-18 23:08:00,1
2019-01-18 23:09:00,1
2019-01-18 23:11:00,1
2019-01-18 23:12:00,1
2019-01-18 23:13:00,1
2019-01-18 23:19:00,1
2019-01-18 23:23:00,1
2019-01-18 23:24:00,1
2019-01-18 23:26:00,1
2019-01-18 23:27:00,1
2019-01-18 23:29:00,1
2019-01-18 23:31:00,1
2019-01-18 23:32:00,1
2019-01-18 23:33:00,1
2019-01-18 23:35:00,1
2019-01-18 23:36:00,1
2019-01-18 23:37:00,1
2019-01-24 22:01:00,1
2019-01-24 22:02:00,1
2019-01-24 22:04:00,1
2019-01-24 22:06:00,1
2019-01-24 22:07:00,1
2019-01-24 22:09:00,1
2019-01-24 22:12:00,1
2019-01-24 22:13:00,1
2019-01-24 22:14:00,1
2019-01-24 22:15:00,1
2019-01-24 22:16:00,1
2019-01-24 22:21:00,1
2019-01-24 22:22:00,1
2019-01-24 22:29:00,1
2019-01-24 22:30:00,2
2019-01-24 22:31:00,1
2019-01-24 22:33:00,1
2019-01-24 22:34:00,1
2019-01-24 22:35:00,1
2019-01-24 22:40:00,1
2019-01-24 22:41:00,1
2019-01-24 22:43:00,1
2019-01-24 22:44:00,1
2019-01-24 22:45:00,1
2019-01-24 22:47:00,1
2019-01-24 22:50:00,1
2019-01-24 22:51:00,1
2019-01-24 22:52:00,1
2019-01-24 22:54:00,1
2019-01-24 22:55:00,1
2019-01-24 22:57:00,1
2019-01-25 00:50:00,1
2019-01-25 00:51:00,1
2019-03-25 18:24:00,1
2019-12-17 22:09:00,1
