2,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.survey, s.instrument, s.programname, s.boss_target1, s.bossPrimary, s.zWarning_noqso, s.chunk, p.fiber2Mag_i, p.psfMag_z, p.psfMag_i, p.modelMag_z, p.modelMag_i, s.class, s.z as redshift into mydb.MyTable from PhotoObjAll AS p JOIN SpecObjAll AS s ON s.bestobjid = p.objid WHERE s.class = #"
2019-09-15 10:55:00,1
2019-09-15 10:57:00,1
