1956,"select [indexMapID], [code], [type], [tableName], [fieldList], [foreignKey] from IndexMap order by [tableName], [indexMapId]"
2019-01-01 02:24:00,1
2019-01-01 04:30:00,1
2019-01-01 05:18:00,1
2019-01-01 06:45:00,1
2019-01-01 13:35:00,1
2019-01-01 14:17:00,1
2019-01-01 17:06:00,1
2019-01-02 23:22:00,1
2019-01-03 10:02:00,1
2019-01-03 11:07:00,1
2019-01-03 13:25:00,1
2019-01-04 00:35:00,1
2019-01-04 16:26:00,1
2019-01-05 03:37:00,1
2019-01-05 23:47:00,1
2019-01-06 17:30:00,1
2019-01-06 23:43:00,1
2019-01-07 04:21:00,1
2019-01-07 13:45:00,1
2019-01-07 16:00:00,1
2019-01-07 23:56:00,1
2019-01-08 03:51:00,1
2019-01-08 06:38:00,1
2019-01-08 07:15:00,1
2019-01-08 07:44:00,1
2019-01-08 10:28:00,1
2019-01-09 11:04:00,1
2019-01-09 14:50:00,1
2019-01-09 20:04:00,1
2019-01-09 20:47:00,1
2019-01-09 21:46:00,1
2019-01-10 02:09:00,1
2019-01-10 13:09:00,1
2019-01-10 17:55:00,1
2019-01-10 18:09:00,1
2019-01-10 18:10:00,1
2019-01-10 19:37:00,1
2019-01-11 04:07:00,1
2019-01-11 04:32:00,1
2019-01-11 11:52:00,1
2019-01-11 13:52:00,1
2019-01-12 07:32:00,1
2019-01-12 20:13:00,1
2019-01-13 03:43:00,1
2019-01-13 12:03:00,1
2019-01-14 11:08:00,1
2019-01-14 14:23:00,1
2019-01-14 14:32:00,1
2019-01-14 14:58:00,1
2019-01-14 17:19:00,1
2019-01-15 15:10:00,1
2019-01-15 23:53:00,1
2019-01-16 00:16:00,1
2019-01-16 02:26:00,1
2019-01-16 02:32:00,1
2019-01-16 08:01:00,1
2019-01-16 13:32:00,1
2019-01-16 20:04:00,1
2019-01-17 12:24:00,1
2019-01-17 14:56:00,1
2019-01-17 14:59:00,1
2019-01-17 19:45:00,1
2019-01-17 23:56:00,1
2019-01-18 10:59:00,1
2019-01-18 13:11:00,1
2019-01-18 18:52:00,1
2019-01-19 01:17:00,1
2019-01-19 02:56:00,1
2019-01-19 04:52:00,1
2019-01-19 04:58:00,1
2019-01-20 04:20:00,1
