2,"SELECT u.up_name as name, p.objID, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, p.modelMag_r FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID ORDER BY x.up_id ##', @log = #, @filter = #"
2019-07-14 01:25:00,1
2019-07-14 01:26:00,1
