182,select fieldid from field where medianpsfcolor_r between # and #
2019-01-24 13:42:00,15
2019-01-24 16:49:00,19
2019-01-24 17:18:00,13
2019-01-24 20:19:00,14
2019-01-24 20:48:00,12
2019-01-24 22:34:00,58
2019-01-24 22:35:00,8
2019-01-24 22:47:00,18
2019-01-24 22:51:00,13
2019-01-24 22:53:00,12
