3,"SELECT s.ra, s.dec, s.z, s.zErr, s.velDisp, s.velDispErr, p.ra, p.dec, p.z, p.zErr FROM SpecObjAll AS s JOIN SpecPhotoAll AS p ON s.SpecObjID = p.SpecObjID WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND # AND s.Class = Galaxy AND"
2019-11-02 16:18:00,1
2019-11-02 16:25:00,2
