380,select top # seq from weblog2# where seq > # order by seq
2019-05-08 14:07:00,12
2019-05-08 14:08:00,13
2019-05-08 14:09:00,6
2019-05-08 14:10:00,22
2019-05-08 14:11:00,9
2019-05-08 14:16:00,3
2019-05-08 14:17:00,3
2019-05-08 14:18:00,9
2019-05-08 14:21:00,1
2019-05-08 14:22:00,3
2019-05-08 14:23:00,13
2019-05-08 14:24:00,3
2019-05-08 14:25:00,5
2019-05-08 14:26:00,27
2019-05-08 14:27:00,28
2019-05-08 14:28:00,1
2019-05-08 14:29:00,14
2019-05-08 14:30:00,17
2019-05-08 14:31:00,24
2019-05-08 14:32:00,10
2019-05-08 14:33:00,28
2019-05-08 15:01:00,10
2019-05-08 15:02:00,21
2019-05-08 15:25:00,13
2019-05-08 15:26:00,22
2019-05-08 15:27:00,24
2019-05-08 15:28:00,26
2019-05-08 15:29:00,13
