5,"SELECT TOP # specObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and # AND z BETWEEN # and #"
2019-03-06 14:40:00,1
2019-03-21 11:27:00,2
2019-03-21 11:29:00,2
