38,"SELECT DISTINCT p.objID, p.ra, p.dec, p.psfMag_u, p.psfMagErr_u, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-07 06:39:00,1
2019-01-07 07:09:00,1
2019-01-07 07:39:00,1
2019-01-07 08:49:00,1
2019-01-07 09:01:00,1
2019-01-07 14:23:00,1
2019-01-08 03:28:00,1
2019-01-08 03:43:00,1
2019-01-08 03:44:00,1
2019-01-08 10:34:00,1
2019-01-08 10:47:00,1
2019-01-17 10:23:00,1
2019-01-17 12:49:00,1
2019-01-17 12:58:00,1
2019-01-17 13:10:00,1
2019-01-17 13:12:00,1
2019-01-17 13:14:00,1
2019-01-17 13:16:00,1
2019-01-17 13:45:00,1
2019-01-17 19:04:00,1
2019-01-17 19:09:00,1
2019-01-17 19:17:00,1
2019-01-17 19:19:00,1
2019-01-17 19:24:00,1
2019-01-18 10:56:00,1
2019-01-18 11:46:00,1
2019-01-18 11:47:00,4
2019-01-18 11:48:00,1
2019-01-18 13:29:00,1
2019-02-10 08:10:00,1
2019-02-28 13:51:00,1
2019-03-11 23:52:00,1
2019-09-19 08:12:00,1
2019-09-19 09:32:00,1
2019-10-17 01:35:00,1
