9,"select ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and # AND class = GALAXY"
2019-02-10 16:29:00,1
2019-02-10 19:37:00,1
2019-03-22 19:22:00,2
2019-04-09 17:10:00,1
2019-06-26 11:12:00,1
2019-06-27 15:07:00,1
2019-12-17 15:46:00,2
