3,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from galaxy p where (p.z BETWEEN # AND #)"
2019-12-08 01:08:00,1
2019-12-08 01:11:00,1
2019-12-08 01:14:00,1
